timestamp,ax,ay,az,gx,gy,gz
0.0,0.14,-0.14,-1.0,2.99,-1.1,3.91
0.1,0.14,-0.13,-0.99,4.94,0.73,-0.92
0.2,0.44,-0.3,-0.92,-9.89,-71.17,53.47
0.30000000000000004,0.42,0.14,0.59,-36.56,-70.68,91.06
0.4,0.84,0.21,-0.73,96.86,-208.5,-66.53
0.5,-0.28,-0.17,-0.85,-183.04,193.12,70.98
0.6000000000000001,1.44,-1.29,1.67,144.78,109.86,-72.51
0.7000000000000001,0.35,0.04,0.79,-32.23,13.79,-16.05
0.8,1.38,-0.38,1.12,-119.38,-141.48,-304.69
0.9,0.53,-0.27,-0.21,103.33,-90.09,1.89
1.0,-0.68,-0.2,1.8,15.81,216.55,68.66
1.1,0.34,-0.24,0.99,25.33,-4.33,14.89
1.2000000000000002,1.15,-0.33,1.28,-112.0,8.97,-72.63
1.3,0.78,0.07,-0.08,138.37,-193.79,-3.23
1.4000000000000001,2.04,0.54,0.15,-7.45,305.42,201.9
1.5,0.3,-0.24,0.88,65.98,-8.97,48.03
1.6,0.4,-0.16,0.95,-71.11,-25.33,-41.02
1.7000000000000002,1.02,0.02,-0.17,92.59,-238.95,-22.4
1.8,1.19,-0.37,-0.83,101.62,251.53,-178.16
1.9000000000000001,0.44,-0.06,-1.29,-7.14,3.3,85.88
2.0,0.07,-0.01,-1.05,-5.92,-6.23,-15.32
2.1,0.73,-0.37,-0.64,28.63,-12.27,-8.18
2.2,0.73,-0.29,-0.59,-14.83,21.48,20.57
2.3000000000000003,0.47,-0.33,-0.81,-75.5,44.8,28.56
2.4000000000000004,0.21,-0.42,-1.1,3.48,-17.94,-13.85
2.5,2.61,1.02,-0.52,75.5,11.17,337.1
2.6,0.34,-0.05,1.99,55.24,154.17,91.92
2.7,0.14,0.03,0.83,34.12,-14.77,40.47
2.8000000000000003,1.3,-0.25,0.95,-96.86,-10.01,-72.69
2.9000000000000004,0.74,0.38,-0.2,111.08,-208.56,-20.2
3.0,1.31,0.43,-0.51,26.25,304.26,136.11
3.1,0.13,-0.03,0.77,74.89,-11.6,74.22
3.2,0.04,-0.08,0.99,-85.69,-13.85,-28.32
3.3000000000000003,0.61,0.54,-0.79,99.43,-204.35,-9.22
3.4000000000000004,1.54,0.82,0.1,39.25,295.65,266.6
3.5,0.37,-0.11,1.07,37.84,-1.22,-43.4
3.6,1.03,-0.33,1.28,-61.1,-50.78,36.62
3.7,0.0,0.17,-0.65,5.19,-118.41,-167.24
3.8000000000000003,0.07,0.13,-0.98,16.11,21.61,-75.81
3.9000000000000004,0.19,-0.01,-0.98,21.97,-2.93,-22.71
4.0,-0.01,-0.58,-0.91,-28.63,30.03,16.54
4.1000000000000005,-0.18,-0.44,-0.91,6.47,4.21,5.68
4.2,-0.15,-0.42,-0.9,3.91,-0.49,5.74
4.3,-0.23,-0.36,-1.01,12.33,14.95,60.49
4.4,-0.31,-0.28,-1.0,-15.62,8.06,45.78
4.5,0.19,-0.1,-1.06,21.67,-31.31,-21.3
4.6000000000000005,0.37,-0.19,-0.36,47.36,-97.72,-20.32
4.7,0.38,0.02,0.85,-57.98,20.45,-30.7
4.800000000000001,0.84,-0.28,0.38,-5.92,-239.26,9.83
4.9,0.24,-0.28,-0.39,-46.69,83.07,-2.62
5.0,-0.54,-0.54,2.28,128.42,74.04,-100.71
5.1000000000000005,0.21,0.14,0.8,-22.16,3.05,-18.55
5.2,0.8,0.14,0.97,-23.99,-228.88,-103.52
5.300000000000001,0.26,-0.07,0.8,136.84,211.12,45.41
