timestamp,ax,ay,az,gx,gy,gz
0.0,0.21,-0.01,-0.98,6.23,-0.98,-2.62
0.1,0.21,-0.01,-0.99,2.81,1.83,3.3
0.2,0.16,-0.06,-1.02,11.35,19.29,-49.5
0.30000000000000004,0.84,-0.28,-0.81,-22.52,-145.14,25.88
0.4,0.08,0.03,1.17,-67.08,-14.28,-32.29
0.5,0.89,-0.1,-0.15,53.77,-165.95,-77.03
0.6000000000000001,0.74,0.37,-1.45,-207.21,236.27,162.41
0.7000000000000001,0.58,0.56,1.63,117.07,153.26,210.51
0.8,0.4,0.21,0.95,41.81,-8.48,40.71
0.9,-0.01,-0.47,1.66,-71.41,-27.89,77.51
1.0,1.0,0.2,1.04,-70.07,-177.37,-142.76
1.1,0.74,-0.07,-0.62,192.69,-158.69,-110.96
1.2000000000000002,1.59,0.34,-0.73,-58.11,319.64,58.35
1.3,0.7,-1.13,1.41,114.07,100.22,-77.51
1.4000000000000001,0.42,-0.59,0.8,-11.78,-12.15,19.59
1.5,-1.93,0.79,-1.77,-93.75,-50.29,-308.29
1.6,0.08,-0.18,-1.32,24.54,12.7,87.28
1.7000000000000002,0.34,0.1,-1.04,-37.48,-31.68,-52.98
1.8,0.3,0.18,-0.95,-15.81,-45.29,-126.95
1.9000000000000001,0.31,-0.1,-1.07,10.5,-11.6,-16.66
2.0,0.34,0.06,-0.94,-9.09,-11.05,-14.59
2.1,0.63,-0.44,0.05,-58.53,-117.49,-85.69
2.2,0.25,-0.15,1.25,-72.39,14.34,-25.39
2.3000000000000003,0.32,-0.11,1.27,-44.25,-89.9,-116.58
2.4000000000000004,0.79,-0.56,-0.37,-55.6,90.03,-87.59
2.5,-0.65,-0.38,1.12,3.78,237.0,151.55
2.6,0.28,-0.54,1.01,59.08,41.08,-41.99
2.7,0.5,-0.36,0.63,-29.66,-20.02,77.64
2.8000000000000003,-0.2,0.22,-0.88,-76.78,-62.56,46.94
