timestamp,ax,ay,az,gx,gy,gz
0.0,0.34,0.09,-0.95,4.39,1.16,4.76
0.1,0.34,0.1,-0.96,3.42,1.1,0.73
0.2,0.29,0.08,-0.94,-1.4,13.37,20.08
0.30000000000000004,0.34,0.19,-1.0,8.12,0.37,-4.46
0.4,0.38,0.21,-0.91,-15.69,19.1,-10.86
0.5,2.21,1.56,-1.36,280.94,-192.14,-97.41
0.6000000000000001,0.69,0.73,1.48,15.62,137.15,-43.52
0.7000000000000001,-0.2,-0.5,-1.05,2.93,4.94,-7.93
0.8,0.04,0.01,-0.33,-50.9,-5.55,86.85
0.9,1.54,0.09,1.02,3.36,163.15,192.38
1.0,-0.17,-0.35,-1.0,8.0,-7.93,13.98
1.1,0.01,-0.26,-0.99,-5.74,-40.1,33.63
1.2000000000000002,0.74,0.11,1.22,56.34,151.25,29.91
1.3,-0.1,-0.55,-0.75,-5.98,11.17,0.0
1.4000000000000001,-0.2,-0.14,-0.34,-77.76,-18.13,53.1
1.5,-0.35,0.22,1.62,19.84,140.14,15.38
1.6,0.06,-0.32,-0.93,-12.88,-30.15,-35.46
1.7000000000000002,-0.19,-0.68,-0.46,60.3,61.89,-113.89
1.8,0.13,0.33,-1.04,-34.85,-8.3,61.4
1.9000000000000001,0.39,0.15,-1.02,24.78,-22.09,15.26
2.0,0.63,0.27,-0.56,-10.68,-22.77,3.72
