timestamp,ax,ay,az,gx,gy,gz
0.0,0.29,0.25,-0.86,2.08,2.5,14.71
0.1,0.27,0.25,-0.91,0.0,1.34,7.75
0.2,0.33,0.31,-0.92,6.47,9.34,-12.88
0.30000000000000004,0.57,0.41,-0.82,15.01,-75.62,26.55
0.4,0.1,-0.01,1.04,-12.57,-70.68,-9.52
0.5,0.73,0.71,0.39,169.86,-143.25,4.15
0.6000000000000001,0.48,-0.32,1.48,4.94,120.85,13.85
0.7000000000000001,-0.45,0.15,0.21,-109.31,-43.21,96.62
0.8,1.28,0.66,0.9,250.12,-110.41,93.2
0.9,-0.62,0.14,1.29,-41.26,120.18,-11.41
1.0,1.44,0.54,0.44,-158.14,323.0,58.23
1.1,0.89,-0.21,-1.76,-270.57,-59.75,-18.25
1.2000000000000002,0.19,0.1,-0.99,94.85,-17.7,-39.18
1.3,0.31,0.22,-0.93,8.79,-4.33,1.59
1.4000000000000001,0.16,0.13,-0.95,2.62,23.07,-56.34
1.5,0.4,0.22,-0.91,9.52,-0.37,-6.16
1.6,0.29,0.14,-1.07,19.47,-1.34,28.87
1.7000000000000002,0.34,0.15,-0.95,42.54,-4.76,5.37
