timestamp,ax,ay,az,gx,gy,gz
0.0,-0.1,-0.27,-0.9,-4.39,5.62,-0.37
0.1,-0.21,0.17,-1.12,-4.94,-8.79,12.51
0.2,1.77,-1.05,0.53,-55.97,-267.09,25.57
0.30000000000000004,1.89,0.51,0.07,-62.87,308.65,77.58
0.4,-0.16,-0.38,-0.77,-55.79,101.01,-94.36
0.5,0.04,-0.83,-0.3,74.58,-124.27,39.61
0.6000000000000001,0.51,-0.5,-0.53,135.74,-162.72,-55.91
0.7000000000000001,0.13,0.59,-1.01,120.79,-296.33,-222.17
0.8,0.89,0.33,-0.19,60.42,-324.71,-146.24
0.9,0.81,0.0,-0.01,77.82,-315.98,-37.35
1.0,1.22,0.19,1.43,42.72,-293.88,-15.81
1.1,1.42,0.22,1.2,-13.98,-287.29,-91.13
1.2000000000000002,0.74,-0.08,0.11,90.76,-313.96,-95.95
1.3,0.2,-0.36,-0.91,125.43,-154.3,-82.7
1.4000000000000001,0.36,-0.73,-0.41,-16.54,123.05,111.51
1.5,0.0,-0.25,-1.06,41.5,-31.31,-44.74
1.6,0.02,0.0,-1.0,-12.02,-10.74,-32.84
1.7000000000000002,-0.13,-0.07,-0.97,-7.26,15.14,29.11
1.8,-0.03,-0.03,-0.97,-6.9,-1.95,-18.43
1.9000000000000001,0.0,-0.13,-1.02,17.7,-5.68,-23.8
2.0,0.15,-0.14,-1.0,10.25,-0.24,-41.14
2.1,0.17,-0.17,-1.1,3.91,34.3,47.18
2.2,0.16,-0.29,-0.95,-24.35,-52.0,14.83
2.3000000000000003,0.29,-0.3,1.22,-75.74,6.53,17.64
2.4000000000000004,0.35,-0.46,0.3,8.18,-1.4,24.35
2.5,0.37,-1.01,1.45,112.61,33.14,-8.54
2.6,0.4,-1.18,0.7,39.92,-21.91,20.14
2.7,0.37,-0.94,0.52,61.71,-12.51,-4.09
2.8000000000000003,0.3,-0.88,1.37,87.16,-5.92,11.78
2.9000000000000004,0.36,-1.0,0.58,67.87,-9.58,-12.08
3.0,0.3,-0.44,0.71,-3.54,48.03,-3.66
