timestamp,ax,ay,az,gx,gy,gz
0.0,0.41,-0.01,-0.91,-27.1,2.93,42.66
0.1,0.43,0.09,-1.04,0.43,3.05,28.99
0.2,0.32,-0.02,-0.95,38.51,3.78,-42.6
0.30000000000000004,0.66,-0.16,-0.81,-34.42,9.52,49.07
0.4,1.77,-0.94,-1.08,-133.67,-290.53,-30.52
0.5,-2.17,0.67,1.33,-13.73,283.2,230.29
0.6000000000000001,-0.32,0.09,-1.06,-3.3,-14.4,29.24
0.7000000000000001,0.08,0.24,0.92,-19.17,-11.54,51.76
0.8,-0.47,-0.55,-0.35,154.85,-127.56,-65.67
0.9,-0.22,-0.15,-0.83,-28.56,9.64,24.78
1.0,1.13,-0.34,0.61,52.92,147.77,166.14
1.1,-0.43,0.17,-0.92,-19.59,12.15,76.42
1.2000000000000002,2.31,-0.23,1.58,-151.61,-93.81,-90.52
1.3,-0.57,-0.94,-0.4,3.17,34.67,-40.41
1.4000000000000001,0.17,0.15,-1.06,-0.18,-0.49,41.14
1.5,-0.18,0.07,-0.99,-5.13,-3.97,16.85
1.6,-0.11,0.05,-0.98,2.5,-1.71,0.85
1.7000000000000002,0.52,0.26,0.74,67.81,-6.71,55.66
1.8,-0.54,-0.08,-0.73,73.3,-272.34,-47.36
