timestamp,ax,ay,az,gx,gy,gz
0.0,-0.22,0.16,-0.97,5.0,-0.79,2.75
0.1,-0.23,0.16,-0.97,2.5,1.53,1.1
0.2,-0.21,0.17,-0.98,3.36,0.06,1.89
0.30000000000000004,-0.18,0.16,-0.98,0.67,1.4,2.87
0.4,-0.11,0.27,-0.97,15.93,-24.17,1.16
0.5,-0.04,0.07,-1.01,10.5,2.87,-10.5
0.6000000000000001,-0.11,0.11,-1.0,3.54,2.99,1.46
0.7000000000000001,-0.09,0.12,-1.0,3.48,-0.61,1.89
0.8,-0.06,0.12,-1.0,4.15,2.38,2.2
0.9,-0.15,0.16,-1.0,15.75,0.55,0.61
1.0,-0.71,0.08,-0.98,58.29,46.33,146.61
1.1,-0.17,0.29,-0.95,2.99,17.64,-2.44
1.2000000000000002,-0.11,0.14,-0.99,-1.22,3.72,2.08
1.3,-0.1,0.11,-1.0,3.91,-2.01,3.42
1.4000000000000001,0.03,0.18,-1.0,2.75,2.99,7.75
1.5,-0.11,0.1,-0.99,9.34,-8.24,-0.79
1.6,0.24,0.25,-1.01,-20.81,16.17,-7.08
1.7000000000000002,-0.07,0.29,-0.96,6.29,-0.67,-5.19
1.8,-0.04,0.13,-1.0,13.06,-2.62,-0.73
1.9000000000000001,-0.12,0.16,-0.98,3.42,1.53,1.59
2.0,-0.03,0.21,-0.99,2.08,1.1,2.56
2.1,-0.02,0.2,-0.99,4.15,1.95,1.28
2.2,-0.04,0.21,-0.99,5.19,-0.06,4.15
2.3000000000000003,-0.03,0.2,-0.99,4.03,0.55,2.69
2.4000000000000004,-0.03,0.2,-0.99,3.91,0.85,2.32
2.5,-0.1,0.16,-1.0,-5.31,18.74,-13.67
2.6,-0.18,0.22,-0.99,9.7,-1.28,-1.34
2.7,1.57,0.74,-0.15,10.07,87.46,-109.5
2.8000000000000003,1.44,1.18,-2.96,-237.0,537.6,28.02
2.9000000000000004,-0.16,-0.1,-1.12,1.04,0.12,-20.45
3.0,2.24,1.2,0.31,1.59,-3.6,-41.75
3.1,-0.13,0.4,-1.5,-25.82,-22.83,-24.9
3.2,0.34,0.34,-1.03,80.2,-203.06,-111.69
3.3000000000000003,0.83,0.51,0.14,-18.19,-21.55,-129.7
3.4000000000000004,-0.98,0.05,-0.33,-4.88,296.14,81.79
3.5,-0.33,0.01,-0.96,-1.89,34.91,2.75
3.6,0.06,1.47,-4.0,205.93,-333.56,-211.61
3.7,-0.64,0.45,-0.98,-17.82,-220.64,76.48
3.8000000000000003,-0.32,0.16,-0.93,17.09,-17.21,23.25
3.9000000000000004,-0.29,0.05,-0.99,-2.08,-5.62,3.11
4.0,0.62,0.35,-0.61,60.67,-119.2,-83.86
4.1000000000000005,-0.48,0.52,-0.83,57.5,-155.7,-11.9
4.2,-0.48,0.52,-0.83,57.5,-155.7,-11.9
4.3,-0.48,0.52,-0.83,57.5,-155.7,-11.9
4.4,-0.48,0.52,-0.83,57.5,-155.7,-11.9
