timestamp,ax,ay,az,gx,gy,gz
0.0,-0.01,-0.33,-0.95,10.38,-2.2,7.45
0.1,-0.08,-0.17,-0.99,4.09,10.99,-28.63
0.2,-0.26,-0.08,-1.02,2.87,21.97,33.75
0.30000000000000004,0.53,-0.68,-0.0,-74.83,-80.44,-7.45
0.4,0.3,-0.44,0.78,-20.14,1.83,-11.78
0.5,0.34,-0.82,0.57,13.18,-5.55,1.83
0.6000000000000001,0.86,-0.35,1.71,193.91,-13.06,66.22
0.7000000000000001,0.31,0.17,-0.17,-70.5,122.74,134.46
0.8,0.55,-0.82,1.1,32.71,-190.86,-80.14
0.9,0.79,-0.09,0.8,34.12,211.61,90.82
1.0,0.89,-1.4,-0.28,31.01,-289.98,126.83
1.1,0.64,-0.82,1.0,149.6,30.58,78.37
1.2000000000000002,0.4,0.15,-0.09,-106.14,-103.39,127.26
1.3,-0.22,-1.58,0.98,156.19,-52.12,-31.19
1.4000000000000001,0.57,0.05,-0.03,-46.26,179.02,93.57
1.5,1.36,-0.64,0.86,-59.27,-204.1,-120.42
1.6,0.28,0.22,1.91,125.31,128.48,24.17
1.7000000000000002,-0.61,-0.38,-1.06,-39.98,-118.16,97.41
1.8,-0.21,-0.2,-0.71,-44.92,-6.47,13.43
1.9000000000000001,-0.1,-0.05,-1.12,55.05,73.06,216.92
2.0,-0.52,-0.16,-1.68,4.94,-23.44,89.84
2.1,-0.2,-0.18,-0.72,27.04,-7.26,-37.54
2.2,0.1,0.06,-0.91,54.38,45.35,35.64
2.3000000000000003,-0.14,-0.12,-1.09,11.54,25.51,72.27
2.4000000000000004,0.37,-0.27,0.56,-31.49,-24.78,22.58
2.5,0.39,0.03,0.21,16.54,5.31,-78.8
2.6,0.23,0.02,0.69,-49.56,-7.93,-21.42
2.7,0.52,0.35,0.02,-123.9,-62.19,121.4
2.8000000000000003,0.13,-1.52,0.57,126.34,-67.63,-16.66
2.9000000000000004,0.69,-0.08,-0.29,53.89,189.51,137.45
3.0,1.25,-0.86,-0.25,-50.48,-284.3,26.92
3.1,0.52,-0.43,1.15,133.79,18.74,96.5
3.2,0.81,-0.1,-0.08,-130.86,-175.17,106.14
3.3000000000000003,-0.13,-1.16,0.85,129.88,-79.28,2.01
3.4000000000000004,0.0,-0.03,-0.4,-87.28,-28.87,-96.98
