timestamp,ax,ay,az,gx,gy,gz
0.0,0.4,0.23,1.07,93.75,-23.5,62.99
0.1,0.0,0.46,1.68,74.89,150.21,46.69
0.2,0.41,-0.1,1.06,70.37,114.44,69.7
0.30000000000000004,0.85,0.19,0.94,39.18,-78.98,-58.35
0.4,0.24,0.38,0.61,72.08,0.98,9.95
0.5,0.66,-0.27,0.75,-21.12,23.32,37.35
0.6000000000000001,-0.97,0.2,1.62,21.12,-2.81,-137.02
0.7000000000000001,0.17,0.79,1.35,-32.35,5.55,37.23
0.8,0.29,0.13,0.77,-127.26,-80.44,-28.08
0.9,0.07,0.67,1.12,-81.48,-97.11,-96.19
1.0,0.94,0.18,0.34,72.69,-210.94,11.29
1.1,0.54,0.12,-0.52,-19.78,4.88,5.98
1.2000000000000002,0.71,-0.11,0.69,36.74,36.01,41.75
1.3,0.68,0.05,-0.75,50.48,-101.44,-42.72
1.4000000000000001,0.73,-0.12,-0.75,23.5,33.2,-4.33
