timestamp,ax,ay,az,gx,gy,gz
0.0,0.27,-0.02,-0.98,3.85,0.0,1.83
0.1,0.25,-0.0,-0.99,3.72,-0.79,3.11
0.2,0.23,0.08,-0.98,11.96,-1.59,-57.13
0.30000000000000004,0.44,-0.12,-0.98,-26.67,41.56,-1.89
0.4,0.83,-0.29,0.97,-52.67,-37.23,60.42
0.5,0.36,0.16,0.68,15.62,-235.6,-80.57
0.6000000000000001,1.5,0.2,1.47,123.47,51.03,-35.64
0.7000000000000001,0.48,0.96,0.52,-128.97,123.05,138.85
0.8,0.53,0.33,-0.08,49.93,-313.23,-33.45
0.9,1.6,0.44,1.56,107.18,74.28,-83.5
1.0,0.71,0.47,-0.13,-152.53,201.11,57.25
1.1,1.22,0.47,-0.68,-14.04,-256.29,-35.77
1.2000000000000002,0.57,0.39,-1.12,351.01,551.03,-135.68
1.3,0.22,-0.1,-1.06,13.73,17.21,50.9
1.4000000000000001,0.31,-0.22,-0.89,0.92,27.71,-5.62
1.5,0.35,-0.13,-0.91,12.51,11.78,-31.56
1.6,0.42,-0.11,-0.94,0.61,14.47,20.2
1.7000000000000002,0.26,0.02,-0.98,-38.64,-24.54,47.12
1.8,0.28,0.08,-1.06,-31.56,42.48,73.55
1.9000000000000001,0.1,-0.07,-0.96,2.62,-9.64,52.61
2.0,0.57,-0.18,-0.94,16.54,-13.61,-41.63
2.1,0.11,-0.03,-0.99,27.77,-2.14,-0.06
2.2,0.07,-0.06,-0.9,-3.54,-2.14,-63.84
2.3000000000000003,0.21,-0.11,-0.98,6.23,0.31,-32.29
2.4000000000000004,0.12,-0.12,-0.98,0.18,19.41,-2.38
2.5,0.05,-0.13,-0.99,4.88,-2.69,1.83
2.6,0.08,-0.06,-0.99,0.0,2.44,-0.37
2.7,0.08,-0.05,-0.98,4.21,-1.28,-2.93
2.8000000000000003,0.24,-0.07,-1.06,2.38,-20.2,-10.31
2.9000000000000004,-0.04,-0.04,-1.0,-0.73,3.91,-12.21
3.0,0.14,-0.03,-1.07,1.1,0.43,-0.43
3.1,0.12,-0.06,-1.02,-1.16,0.18,10.62
3.2,0.12,-0.05,-0.97,7.57,-2.01,19.65
3.3000000000000003,0.05,-0.31,-1.07,-38.64,22.46,-1.65
3.4000000000000004,0.22,-0.09,-0.96,25.88,5.37,10.5
3.5,-0.11,-0.71,-0.73,19.29,-17.09,33.75
3.6,-0.0,-0.66,-0.78,4.82,0.31,3.54
