timestamp,ax,ay,az,gx,gy,gz
0.0,0.2,-0.02,-1.15,8.91,6.35,15.62
0.1,0.13,-0.01,-1.0,2.2,4.64,0.31
0.2,0.4,0.01,-1.07,0.06,-42.18,-64.88
0.30000000000000004,0.25,0.04,-0.07,32.84,13.43,20.14
0.4,0.41,0.15,0.6,39.98,-21.12,-1.83
0.5,0.8,-0.13,1.35,97.23,-75.56,-5.86
0.6000000000000001,0.68,-0.01,0.86,-81.18,-123.47,-72.51
0.7000000000000001,0.66,-0.02,-0.33,157.78,-160.71,-94.54
0.8,1.0,0.34,-0.49,-120.18,270.69,135.07
0.9,0.77,-0.17,0.83,61.1,-6.84,-15.87
1.0,0.07,-0.28,1.01,-80.44,-13.92,34.36
1.1,0.03,0.61,1.2,-88.44,-106.69,-196.35
1.2000000000000002,0.6,-0.29,-0.94,169.13,-200.44,-9.22
1.3,0.48,0.48,0.63,-51.09,314.21,25.51
1.4000000000000001,0.99,-1.08,0.45,87.65,54.08,-17.58
1.5,0.71,-0.31,0.59,-5.31,-2.2,24.17
1.6,0.06,-0.15,-0.47,-34.67,14.65,49.26
1.7000000000000002,0.34,-0.07,-1.02,5.86,8.79,19.17
