timestamp,ax,ay,az,gx,gy,gz
0.0,0.22,0.18,-0.97,3.48,1.83,2.2
0.1,0.24,0.2,-0.96,3.66,-0.43,6.77
0.2,0.53,0.38,-0.49,22.58,-18.13,10.5
0.30000000000000004,0.29,0.25,0.91,24.35,2.81,8.97
0.4,0.02,-0.26,1.04,-20.69,-93.38,-16.66
0.5,0.3,0.3,-0.68,191.1,-46.14,-46.33
0.6000000000000001,0.77,0.4,-0.57,-192.5,118.84,7.81
0.7000000000000001,1.44,0.21,1.12,20.69,124.45,34.67
0.8,0.32,0.35,0.77,-12.27,-9.64,108.34
0.9,0.47,-0.13,1.18,-6.53,-48.46,141.91
1.0,0.56,0.33,-0.01,229.06,-121.28,-55.6
1.1,0.08,0.2,0.02,-143.68,55.3,59.94
1.2000000000000002,0.68,0.47,-1.0,191.89,24.35,-239.81
1.3,0.39,0.38,-0.86,-13.98,-0.31,15.26
1.4000000000000001,0.31,0.35,-0.96,-12.76,19.84,0.55
1.5,0.26,0.24,-0.95,10.38,4.64,-4.88
1.6,0.32,0.33,-0.92,-10.44,4.39,6.35
1.7000000000000002,0.27,0.25,-0.95,17.58,0.06,-13.55
1.8,0.32,0.19,-0.95,7.63,-3.78,4.52
