timestamp,ax,ay,az,gx,gy,gz
0.0,0.02,-0.08,-1.17,30.76,0.37,20.63
0.1,0.26,0.02,-0.82,-10.38,-33.87,-13.0
0.2,0.15,-0.07,-0.93,7.39,18.19,18.43
0.30000000000000004,0.17,-0.12,-0.97,16.17,-5.19,-33.08
0.4,0.26,-0.12,-0.91,1.28,2.75,83.92
0.5,-0.11,-0.08,-1.05,-43.52,23.07,48.46
0.6000000000000001,0.13,-0.15,-1.12,8.73,-12.51,-75.01
0.7000000000000001,0.22,-0.16,-1.0,-15.08,-20.57,-23.86
0.8,0.19,-0.09,-0.95,8.36,-26.92,-0.06
0.9,0.2,0.07,-1.07,-4.52,13.12,-4.7
1.0,0.15,-0.06,-0.96,13.61,-3.85,9.83
1.1,0.28,-0.15,-0.99,12.45,6.96,7.69
1.2000000000000002,0.26,-0.1,-1.02,34.85,-7.57,-34.61
1.3,0.19,0.08,-0.98,16.72,-8.67,-76.29
1.4000000000000001,0.82,-0.2,-0.4,25.76,139.34,16.24
1.5,0.13,-0.06,-0.99,-12.15,-23.13,-4.76
1.6,0.07,-0.07,-1.12,-32.71,25.82,140.99
1.7000000000000002,-0.19,0.02,-0.97,43.09,14.34,27.34
1.8,-0.35,-0.33,-0.78,-4.03,4.52,26.0
1.9000000000000001,-0.22,-0.11,-1.01,0.79,2.75,-5.37
2.0,-0.29,0.16,-0.94,-14.59,-3.54,-79.83
2.1,-0.04,-0.12,-1.16,3.54,-4.46,55.6
2.2,0.09,0.06,-0.97,-5.62,5.8,61.65
2.3000000000000003,1.12,-0.18,0.19,10.31,-29.48,-20.51
2.4000000000000004,0.85,0.03,0.21,-27.28,38.76,-1.77
2.5,0.43,-0.16,-0.96,-40.04,-72.63,36.68
2.6,1.08,-0.17,0.71,-0.49,8.36,-7.14
2.7,0.65,-0.07,0.64,68.24,-19.84,5.92
2.8000000000000003,-0.26,-0.79,0.69,-50.05,-90.27,-72.69
2.9000000000000004,0.82,-0.62,1.08,-74.28,-25.82,-60.79
3.0,0.21,-0.1,0.84,-24.54,-16.97,-1.53
3.1,0.45,0.09,0.99,-76.78,-94.67,-123.05
3.2,1.04,0.15,-0.72,65.0,-30.03,-47.06
3.3000000000000003,0.11,0.14,0.78,46.51,0.73,30.27
3.4000000000000004,0.77,-0.24,1.06,-117.49,-41.44,-99.73
3.5,0.84,0.14,-0.84,57.01,-23.25,-17.7
3.6,0.2,-0.05,0.84,7.02,16.48,0.0
3.7,0.57,0.16,0.98,-88.38,-111.51,-150.27
3.8000000000000003,0.7,0.37,-0.65,158.51,-43.88,-5.31
3.9000000000000004,0.58,-0.33,0.72,48.03,14.71,79.04
4.0,0.22,0.15,-0.91,-54.87,13.55,72.57
4.1000000000000005,0.25,-0.09,-0.97,8.36,1.89,9.89
4.2,0.25,0.01,-0.95,13.24,-15.38,-67.2
4.3,0.35,-0.27,-0.99,47.79,29.3,-63.84
4.4,0.97,0.07,-0.36,-6.35,-22.89,-3.54
4.5,-0.02,-0.72,-0.89,-9.16,-6.96,-9.34
4.6000000000000005,-0.22,-0.53,-0.72,-7.26,26.86,11.78
4.7,-0.39,-0.46,-0.83,6.53,-9.95,2.38
4.800000000000001,-0.18,-0.56,-0.8,0.06,-11.29,-8.18
4.9,0.0,-0.51,-0.96,-2.38,17.76,34.85
5.0,-0.12,-0.51,-0.77,14.1,4.03,8.48
5.1000000000000005,-0.39,-0.47,-0.87,9.28,-4.27,8.06
5.2,0.2,-0.13,-1.15,-63.66,-8.42,79.47
5.300000000000001,1.18,-0.02,-0.06,-22.22,49.62,-38.88
5.4,0.91,-0.22,-0.27,46.81,-15.99,-28.02
