timestamp,ax,ay,az,gx,gy,gz
0.0,0.43,-0.23,0.28,136.41,-63.29,-163.94
0.1,0.91,0.16,0.25,0.98,15.26,9.16
0.2,1.02,-0.95,1.29,73.73,102.6,78.43
0.30000000000000004,1.03,0.03,0.75,51.21,47.3,16.85
0.4,0.92,0.12,1.0,-46.33,-76.29,69.46
0.5,0.83,0.25,0.88,87.22,-181.4,-64.15
0.6000000000000001,0.39,0.17,-0.37,104.74,-95.58,-32.17
0.7000000000000001,-0.06,-0.38,-0.86,-127.5,128.91,9.09
0.8,-0.14,-0.06,1.42,-34.91,128.85,77.15
0.9,1.63,-0.33,0.41,91.8,25.02,113.89
1.0,0.54,-0.31,1.21,-87.65,-79.71,-37.11
1.1,0.96,0.23,0.66,87.28,-137.51,-57.13
1.2000000000000002,0.42,0.23,-0.43,72.75,-47.18,-30.7
1.3,0.68,0.48,0.69,-112.12,255.8,-133.0
1.4000000000000001,0.95,-0.74,0.86,73.43,111.76,7.51
1.5,0.66,-0.24,0.76,-6.53,-13.92,32.65
1.6,0.71,0.3,-0.52,56.03,77.58,-23.93
1.7000000000000002,0.67,0.47,-0.46,-62.5,66.41,39.79
