ax,ay,az,gx,gy,gz,timestamp
0.284546,-0.843628,0.499756,13.06152,-32.95898,-14.46533,2025-05-16 07:02:46
0.294312,-0.856567,0.506958,17.7002,-43.51807,-17.45605,2025-05-16 07:02:46
0.120361,-0.838257,0.464722,15.99121,-56.03027,-4.699707,2025-05-16 07:02:46
0.00769,-0.824585,0.457153,12.20703,-44.49463,6.103516,2025-05-16 07:02:46
-0.036865,-0.821289,0.436768,10.92529,-29.54102,25.02441,2025-05-16 07:02:47
-0.020996,-0.84021,0.430054,12.08496,-9.277344,40.40527,2025-05-16 07:02:47
-0.028809,-0.942505,0.504028,18.43262,5.432129,43.88428,2025-05-16 07:02:47
0.116821,-0.972534,0.610229,14.52637,10.86426,29.41895,2025-05-16 07:02:47
0.156494,-0.925537,0.590942,8.728027,-0.610352,8.850098,2025-05-16 07:02:47
0.132813,-0.859009,0.524048,0.732422,4.821777,-1.831055,2025-05-16 07:02:47
0.162231,-0.874268,0.493652,-1.77002,7.141113,-5.554199,2025-05-16 07:02:47
0.150269,-0.869751,0.452881,0.061035,13.73291,-8.911133,2025-05-16 07:02:47
0.165283,-0.881836,0.446045,1.159668,23.4375,-12.02393,2025-05-16 07:02:47
0.171387,-0.901001,0.483154,-1.342773,31.92139,-14.89258,2025-05-16 07:02:47
0.148804,-0.901367,0.487305,-12.39014,37.53662,-21.48438,2025-05-16 07:02:47
0.165771,-0.902466,0.457397,-22.03369,43.70117,-27.03857,2025-05-16 07:02:47
0.2146,-0.876831,0.439209,-19.28711,37.78076,-22.2168,2025-05-16 07:02:47
0.218262,-0.838379,0.422729,-11.65771,22.94922,-11.04736,2025-05-16 07:02:47
0.195557,-0.834961,0.442871,-3.234863,13.30566,-2.685547,2025-05-16 07:02:47
0.159302,-0.829224,0.429932,2.807617,8.117676,5.310059,2025-05-16 07:02:48
0.20166,-0.862793,0.460571,8.850098,11.1084,6.713867,2025-05-16 07:02:48
0.257935,-0.905396,0.510742,14.52637,1.098633,6.530762,2025-05-16 07:02:48
0.226563,-0.899292,0.494507,13.61084,-9.460449,6.103516,2025-05-16 07:02:48
0.202148,-0.880127,0.439941,9.765625,-9.887695,6.225586,2025-05-16 07:02:48
0.190186,-0.888916,0.443237,9.094238,-8.728027,6.408691,2025-05-16 07:02:48
0.169678,-0.883545,0.435669,8.300781,-6.835938,4.333496,2025-05-16 07:02:48
0.148071,-0.883789,0.421631,7.8125,-2.624512,3.601074,2025-05-16 07:02:48
0.175171,-0.876953,0.452148,8.789063,4.394531,2.624512,2025-05-16 07:02:48
0.202515,-0.870117,0.468506,7.69043,2.807617,2.868652,2025-05-16 07:02:48
0.181274,-0.88916,0.493896,5.554199,-2.13623,3.173828,2025-05-16 07:02:48
0.141113,-0.867798,0.460449,8.178711,-8.300781,2.685547,2025-05-16 07:02:48
0.131104,-0.874634,0.491211,9.643555,-4.882813,2.929688,2025-05-16 07:02:48
0.152832,-0.892944,0.524658,8.972168,-9.460449,4.272461,2025-05-16 07:02:48
0.104248,-0.887939,0.508423,2.868652,-6.286621,2.563477,2025-05-16 07:02:48
0.127808,-0.883545,0.518066,-0.061035,-1.89209,0.488281,2025-05-16 07:02:49
0.117065,-0.868652,0.511597,-1.037598,3.479004,-0.183105,2025-05-16 07:02:49
0.131348,-0.855835,0.526123,-1.159668,5.310059,1.037598,2025-05-16 07:02:49
0.130859,-0.852905,0.524292,-2.258301,6.713867,2.502441,2025-05-16 07:02:49
0.145874,-0.842529,0.52478,-3.356934,6.958008,2.807617,2025-05-16 07:02:49
0.137207,-0.837402,0.511475,-4.699707,7.202148,0.976563,2025-05-16 07:02:49
0.159058,-0.855957,0.531006,-4.760742,8.483887,0.12207,2025-05-16 07:02:49
0.166748,-0.814331,0.482544,-2.502441,6.591797,-2.197266,2025-05-16 07:02:49
0.205078,-0.836792,0.493164,0.549316,4.943848,-0.549316,2025-05-16 07:02:49
0.192261,-0.869751,0.505249,-1.708984,-2.319336,3.479004,2025-05-16 07:02:49
0.235596,-0.885132,0.527954,-7.507324,-3.295898,7.141113,2025-05-16 07:02:49
0.247437,-0.857666,0.485596,-3.845215,-5.92041,6.530762,2025-05-16 07:02:49
0.22168,-0.816895,0.485718,-0.854492,-11.41357,6.835938,2025-05-16 07:02:49
0.171265,-0.878784,0.481689,0.183105,-12.02393,3.90625,2025-05-16 07:02:50
0.154175,-0.873291,0.496826,3.967285,-13.00049,3.601074,2025-05-16 07:02:50
0.117188,-0.87561,0.512085,6.408691,-13.42773,4.394531,2025-05-16 07:02:50
0.110229,-0.860107,0.506958,7.751465,-6.347656,4.699707,2025-05-16 07:02:50
0.141846,-0.835815,0.529663,8.483887,-1.953125,4.272461,2025-05-16 07:02:50
0.117676,-0.84021,0.540161,7.995605,-1.89209,4.516602,2025-05-16 07:02:50
0.111694,-0.877441,0.569946,4.821777,-0.305176,2.563477,2025-05-16 07:02:50
0.144409,-0.815674,0.569336,3.601074,0,1.220703,2025-05-16 07:02:50
0.230957,-0.761841,0.659424,8.361816,-11.04736,8.789063,2025-05-16 07:02:50
0.18103,-0.646606,0.691406,8.850098,-32.2876,25.39063,2025-05-16 07:02:50
0.234985,-0.761719,0.745361,10.0708,-46.02051,42.90771,2025-05-16 07:02:50
