ax,ay,az,gx,gy,gz,timestamp
0.272705,-0.882324,0.431152,6.958008,-0.976563,-4.150391,2025-05-16 07:04:51
0.263672,-0.879272,0.435059,7.019043,-13.61084,-2.502441,2025-05-16 07:04:51
0.241699,-0.892212,0.447998,7.202148,-22.46094,0.427246,2025-05-16 07:04:51
0.196289,-0.903442,0.475952,5.187988,-28.13721,3.723145,2025-05-16 07:04:51
0.157104,-0.902344,0.468384,1.342773,-28.38135,5.126953,2025-05-16 07:04:52
0.143677,-0.889648,0.467163,0.061035,-27.03857,9.521484,2025-05-16 07:04:52
0.126099,-0.878174,0.48291,1.403809,-23.98682,13.48877,2025-05-16 07:04:52
0.0896,-0.848511,0.480347,2.990723,-22.03369,15.07568,2025-05-16 07:04:52
0.096313,-0.861694,0.504517,6.652832,-18.37158,14.52637,2025-05-16 07:04:52
0.105835,-0.861694,0.489136,7.263184,-16.72363,12.51221,2025-05-16 07:04:52
0.129272,-0.847412,0.476929,9.216309,-17.39502,13.91602,2025-05-16 07:04:52
0.146851,-0.880981,0.450684,11.35254,-22.3999,15.44189,2025-05-16 07:04:52
0.092896,-0.889038,0.459229,10.86426,-19.89746,11.47461,2025-05-16 07:04:52
0.089966,-0.903076,0.448486,7.080078,-12.146,6.164551,2025-05-16 07:04:52
0.11499,-0.902344,0.421509,4.150391,-5.371094,3.295898,2025-05-16 07:04:52
0.116699,-0.912109,0.405396,3.295898,-2.441406,5.004883,2025-05-16 07:04:52
0.123291,-0.948486,0.413086,4.211426,-0.305176,4.455566,2025-05-16 07:04:52
0.106079,-0.937256,0.401611,2.319336,3.234863,2.01416,2025-05-16 07:04:52
0.101563,-0.932373,0.370361,0.305176,9.216309,-0.12207,2025-05-16 07:04:52
0.126587,-0.896973,0.35376,1.953125,15.99121,-1.342773,2025-05-16 07:04:52
0.149536,-0.922485,0.369995,6.896973,13.67188,-0.549316,2025-05-16 07:04:53
0.160767,-0.911011,0.386353,11.65771,7.751465,-0.061035,2025-05-16 07:04:53
0.154785,-0.912598,0.388794,15.625,0.854492,0.244141,2025-05-16 07:04:53
0.144287,-0.915405,0.401123,18.37158,-1.281738,0.488281,2025-05-16 07:04:53
0.15564,-0.923584,0.408813,17.02881,-3.051758,2.197266,2025-05-16 07:04:53
0.15686,-0.921387,0.39917,12.87842,-4.211426,4.821777,2025-05-16 07:04:53
0.154541,-0.905151,0.399414,9.765625,-5.859375,8.789063,2025-05-16 07:04:53
0.140503,-0.918823,0.407593,7.446289,-6.286621,13.06152,2025-05-16 07:04:53
0.144043,-0.913696,0.430054,5.065918,-4.882813,13.73291,2025-05-16 07:04:53
0.176758,-0.923462,0.427612,3.479004,-6.164551,10.98633,2025-05-16 07:04:53
0.172607,-0.914551,0.435791,3.90625,-11.77979,9.155273,2025-05-16 07:04:53
0.119995,-0.918457,0.432007,4.577637,-13.3667,7.995605,2025-05-16 07:04:53
0.10498,-0.918091,0.455933,5.249023,-10.62012,6.286621,2025-05-16 07:04:53
0.102783,-0.929199,0.467896,2.441406,-6.225586,4.02832,2025-05-16 07:04:54
0.093628,-0.920288,0.459351,-1.708984,0.244141,1.403809,2025-05-16 07:04:54
0.118652,-0.889038,0.439819,-3.845215,5.432129,-0.244141,2025-05-16 07:04:54
0.139038,-0.900269,0.439575,-4.760742,8.056641,0.427246,2025-05-16 07:04:54
0.130737,-0.868164,0.431763,-5.187988,11.96289,0.732422,2025-05-16 07:04:54
0.14917,-0.868164,0.41748,-3.479004,17.51709,-0.549316,2025-05-16 07:04:54
0.186768,-0.880737,0.415039,-0.305176,20.20264,-2.197266,2025-05-16 07:04:54
0.2052,-0.879639,0.403198,1.525879,17.82227,-5.249023,2025-05-16 07:04:54
0.171265,-0.889282,0.380371,3.845215,14.64844,-5.126953,2025-05-16 07:04:54
0.191895,-0.90564,0.377441,7.202148,13.12256,-2.624512,2025-05-16 07:04:54
0.19043,-0.945313,0.395874,8.056641,7.446289,-1.953125,2025-05-16 07:04:54
0.184692,-0.936768,0.391235,5.67627,5.432129,-2.624512,2025-05-16 07:04:54
0.209839,-0.932739,0.382813,3.845215,4.699707,-2.258301,2025-05-16 07:04:54
0.197144,-0.910645,0.35022,3.723145,1.647949,1.953125,2025-05-16 07:04:54
0.190186,-0.908936,0.34668,6.103516,-0.488281,4.272461,2025-05-16 07:04:54
0.19104,-0.877563,0.329346,13.48877,-5.126953,3.479004,2025-05-16 07:04:55
0.206421,-0.949707,0.390259,12.87842,0,6.469727,2025-05-16 07:04:55
0.169434,-0.926392,0.381104,8.422852,-5.79834,8.422852,2025-05-16 07:04:55
0.18335,-0.910156,0.365112,8.483887,-7.324219,7.507324,2025-05-16 07:04:55
0.139404,-0.915405,0.377197,13.00049,-9.155273,4.638672,2025-05-16 07:04:55
0.176636,-0.914795,0.386475,13.91602,-8.972168,3.90625,2025-05-16 07:04:55
0.149902,-0.92395,0.397339,9.460449,-8.789063,6.713867,2025-05-16 07:04:55
0.127197,-0.925903,0.412842,5.92041,-4.577637,8.178711,2025-05-16 07:04:55
0.138428,-0.921997,0.423218,0.793457,1.464844,5.79834,2025-05-16 07:04:55
0.159546,-0.928467,0.424194,-2.685547,3.78418,4.02832,2025-05-16 07:04:55
0.150024,-0.928589,0.417236,-3.723145,5.554199,2.807617,2025-05-16 07:04:55
0.134888,-0.911743,0.438354,-3.112793,6.958008,0.488281,2025-05-16 07:04:55
0.121582,-0.918457,0.466431,-3.78418,9.094238,-2.807617,2025-05-16 07:04:55
0.124023,-0.905029,0.45752,-5.737305,18.55469,-8.117676,2025-05-16 07:04:55
