ax,ay,az,gx,gy,gz,timestamp
0.126099,0.953735,-0.056763,18.98193,-0.549316,-3.479004,2025-05-16 06:15:22
0.092163,1.08606,0.040039,16.96777,1.342773,-4.02832,2025-05-16 06:15:22
0.031738,0.907593,0.012695,13.97705,-9.338379,-3.356934,2025-05-16 06:15:22
0.141602,0.953979,0.094727,10.25391,-10.92529,1.831055,2025-05-16 06:15:22
0.03772,0.8479,0.13562,-1.403809,-5.67627,4.821777,2025-05-16 06:15:22
0.037109,1.259766,0.284058,1.403809,-9.216309,1.403809,2025-05-16 06:15:22
0.117188,1.067993,0.174561,-5.859375,-14.70947,5.310059,2025-05-16 06:15:22
0.056396,0.888428,0.058105,4.333496,-13.00049,12.45117,2025-05-16 06:15:22
0.025879,0.968994,0.085571,-0.183105,-9.277344,-2.990723,2025-05-16 06:15:22
0.085571,1.016479,0.128662,2.319336,-11.71875,-4.638672,2025-05-16 06:15:22
0.175781,0.967651,0.113647,0.549316,-1.281738,-2.502441,2025-05-16 06:15:22
0.060059,0.992676,0.067627,1.037598,23.80371,-1.464844,2025-05-16 06:15:22
-0.026611,1.023926,0.109741,8.544922,12.81738,-7.507324,2025-05-16 06:15:23
0.201904,0.978516,0.069092,0.854492,-2.868652,-3.662109,2025-05-16 06:15:23
0.153931,0.96167,0.06543,-1.403809,14.28223,-2.441406,2025-05-16 06:15:23
0.091553,0.969971,0.06543,-0.549316,15.99121,0.549316,2025-05-16 06:15:23
0.089355,0.950684,0.022095,0.549316,14.34326,4.211426,2025-05-16 06:15:23
0.077026,1.016846,0.02771,6.164551,13.24463,-0.183105,2025-05-16 06:15:23
0.085571,1.018311,0.015625,4.699707,6.164551,0.061035,2025-05-16 06:15:23
0.171997,1.020142,0.054565,-3.540039,4.211426,4.577637,2025-05-16 06:15:23
0.105225,0.922607,-0.009277,-4.821777,10.43701,6.958008,2025-05-16 06:15:23
0.133789,0.953369,0.008179,-0.915527,11.96289,7.69043,2025-05-16 06:15:23
0.069702,1.001343,0.007446,5.065918,11.90186,8.178711,2025-05-16 06:15:23
0.069458,1.02002,-0.007813,6.958008,4.882813,3.967285,2025-05-16 06:15:23
0.068481,0.969727,-0.049194,1.159668,0.976563,3.051758,2025-05-16 06:15:23
0.093628,0.973022,-0.029541,-1.525879,-2.746582,1.77002,2025-05-16 06:15:24
0.118164,0.948975,-0.018921,0.488281,-2.319336,1.647949,2025-05-16 06:15:24
0.094849,0.963257,-0.021362,4.394531,-0.854492,6.04248,2025-05-16 06:15:24
0.083008,1.048218,-0.038086,-2.441406,1.586914,11.41357,2025-05-16 06:15:24
0.101563,1.070679,-0.078857,-15.38086,5.493164,14.09912,2025-05-16 06:15:24
0.03894,1.003662,-0.080688,-21.97266,17.15088,20.44678,2025-05-16 06:15:24
0.048706,0.983154,-0.094727,-20.87402,28.44238,31.25,2025-05-16 06:15:24
-0.018066,0.95459,-0.181763,-19.34814,30.94482,36.13281,2025-05-16 06:15:24
-0.133301,0.953491,-0.207275,-16.35742,24.96338,34.60693,2025-05-16 06:15:24
-0.172119,0.929077,-0.214355,-12.20703,10.92529,30.51758,2025-05-16 06:15:24
-0.169189,1.011475,-0.203979,-12.39014,0.915527,22.03369,2025-05-16 06:15:24
-0.158569,0.954956,-0.321899,-12.57324,10.98633,18.79883,2025-05-16 06:15:24
-0.228394,0.893921,-0.210693,-8.117676,15.68604,20.1416,2025-05-16 06:15:24
-0.261719,0.886353,-0.250977,-3.967285,-0.244141,18.79883,2025-05-16 06:15:24
-0.251343,0.94751,-0.288696,-1.037598,-1.647949,23.25439,2025-05-16 06:15:25
-0.288086,0.914795,-0.262695,1.89209,-14.95361,14.28223,2025-05-16 06:15:25
-0.211426,0.974854,-0.338867,-2.441406,-16.78467,8.422852,2025-05-16 06:15:25
-0.30835,0.943848,-0.311768,-8.300781,-8.544922,11.53564,2025-05-16 06:15:25
-0.286621,0.856567,-0.347778,-10.98633,-13.42773,14.95361,2025-05-16 06:15:25
-0.299927,0.854614,-0.319214,-7.141113,-4.638672,15.19775,2025-05-16 06:15:25
-0.251099,0.818359,-0.375244,1.281738,-1.220703,13.67188,2025-05-16 06:15:25
-0.287109,0.857178,-0.394775,2.929688,-0.061035,7.324219,2025-05-16 06:15:25
-0.280029,0.885376,-0.421631,1.159668,6.530762,-11.16943,2025-05-16 06:15:25
-0.284912,0.894409,-0.432129,-5.737305,0,-15.44189,2025-05-16 06:15:25
-0.198364,0.877563,-0.437134,-7.019043,0.183105,-20.20264,2025-05-16 06:15:25
-0.247925,0.869263,-0.403564,-3.234863,-0.183105,-23.92578,2025-05-16 06:15:25
-0.162476,0.889893,-0.429932,-4.02832,-2.075195,-26.06201,2025-05-16 06:15:26
-0.167358,0.860352,-0.416504,-0.610352,-2.563477,-23.37646,2025-05-16 06:15:26
-0.111206,0.826294,-0.467529,2.075195,-5.615234,-19.71436,2025-05-16 06:15:26
-0.084106,0.918701,-0.430786,8.361816,-1.77002,-14.09912,2025-05-16 06:15:26
-0.103882,0.832031,-0.446167,11.96289,-0.671387,-10.37598,2025-05-16 06:15:26
0.016357,0.948975,-0.448975,10.37598,12.63428,2.075195,2025-05-16 06:15:26
-0.050415,0.893433,-0.447021,4.882813,16.78467,11.96289,2025-05-16 06:15:26
0.000854,0.852905,-0.472656,1.77002,21.78955,6.774902,2025-05-16 06:15:26
-0.087158,0.861206,-0.439087,3.417969,30.15137,-0.305176,2025-05-16 06:15:26
-0.109009,0.930542,-0.394409,3.417969,27.58789,-3.78418,2025-05-16 06:15:26
-0.148926,0.926636,-0.386963,4.882813,26.30615,-2.929688,2025-05-16 06:15:26
-0.1875,0.903198,-0.426758,7.324219,20.81299,0.244141,2025-05-16 06:15:26
-0.229858,0.925537,-0.429077,7.019043,16.8457,1.647949,2025-05-16 06:15:26
-0.296265,0.871094,-0.459106,6.958008,-3.173828,-3.845215,2025-05-16 06:15:26
-0.032959,0.920776,-0.331299,9.94873,-43.27393,-17.08984,2025-05-16 06:15:26
-0.002319,0.851929,-0.414673,17.94434,-41.07666,-26.42822,2025-05-16 06:15:26
0.045044,0.88855,-0.336304,26.97754,-39.79492,-53.83301,2025-05-16 06:15:27
0.155396,1.02771,-0.330078,32.22656,-29.41895,-56.15234,2025-05-16 06:15:27
0.103638,0.987915,-0.292603,13.97705,-37.96387,-60.66895,2025-05-16 06:15:27
0.50293,0.966797,-0.385132,-12.69531,-17.39502,-53.58887,2025-05-16 06:15:27
0.337646,0.751343,-0.276489,-0.793457,37.71973,-16.96777,2025-05-16 06:15:27
0.123047,0.770874,-0.240234,5.615234,8.850098,5.371094,2025-05-16 06:15:27
0.271484,0.937988,-0.34375,-8.056641,-38.45215,20.50781,2025-05-16 06:15:27
0.390625,0.970703,-0.38623,-11.77979,-17.02881,64.88037,2025-05-16 06:15:27
0.067505,0.858765,-0.294678,-18.18848,-14.5874,96.74072,2025-05-16 06:15:27
0.346558,1.055908,-0.427856,-49.25537,-11.47461,84.22852,2025-05-16 06:15:27
0.192017,1.049072,-0.389526,-33.75244,90.75928,108.7036,2025-05-16 06:15:27
-0.393555,0.657959,-0.38501,-3.845215,31.67725,94.54346,2025-05-16 06:15:27
-0.259277,0.873047,-0.491821,-7.69043,-44.00635,53.10059,2025-05-16 06:15:27
0.027344,0.682739,-0.511475,-33.5083,-29.29688,-7.507324,2025-05-16 06:15:27
0.126953,0.74939,-0.577271,-21.05713,47.11914,-31.86035,2025-05-16 06:15:28
-0.406738,0.640869,-0.338623,10.92529,0.549316,-47.60742,2025-05-16 06:15:28
-0.130615,0.731689,-0.641724,28.50342,-35.52246,-78.61328,2025-05-16 06:15:28
0.028442,0.932251,-0.567749,42.66357,-18.98193,-78.73535,2025-05-16 06:15:28
0.44165,1.051147,-0.42041,46.20361,-0.061035,-89.90479,2025-05-16 06:15:28
0.028198,0.896606,-0.486328,49.25537,32.83691,-49.25537,2025-05-16 06:15:28
0.044922,0.80249,-0.229248,54.26025,-27.58789,-41.19873,2025-05-16 06:15:28
0.559326,0.928345,-0.216797,57.06787,-37.90283,-36.31592,2025-05-16 06:15:28
