ax,ay,az,gx,gy,gz,timestamp
-0.425781,0.901489,0.164551,-2.380371,5.615234,-1.647949,2025-05-16 06:10:46
-0.40918,0.893433,0.157349,-2.197266,4.211426,-1.831055,2025-05-16 06:10:46
-0.401245,0.881836,0.160645,-0.976563,4.821777,-1.159668,2025-05-16 06:10:46
-0.41687,0.875,0.156982,2.441406,2.746582,0.12207,2025-05-16 06:10:46
-0.412598,0.903076,0.145752,5.493164,0.793457,3.601074,2025-05-16 06:10:46
-0.42334,0.880249,0.157104,7.751465,0.366211,7.507324,2025-05-16 06:10:46
-0.429199,0.883789,0.158081,9.765625,-2.380371,8.483887,2025-05-16 06:10:47
-0.403687,0.898438,0.153931,10.98633,-3.845215,8.178711,2025-05-16 06:10:47
-0.415527,0.887939,0.155762,9.82666,-0.671387,7.385254,2025-05-16 06:10:47
-0.419922,0.889404,0.165649,9.155273,-1.77002,5.371094,2025-05-16 06:10:47
-0.409058,0.887085,0.165405,7.324219,-0.610352,3.051758,2025-05-16 06:10:47
-0.411011,0.895508,0.162964,4.821777,3.662109,2.01416,2025-05-16 06:10:47
-0.437866,0.893677,0.182495,2.319336,8.972168,2.01416,2025-05-16 06:10:47
-0.444946,0.882813,0.181885,1.953125,9.70459,0.976563,2025-05-16 06:10:47
-0.461426,0.865112,0.184082,1.77002,5.615234,1.220703,2025-05-16 06:10:47
-0.435059,0.889648,0.177856,3.295898,0.854492,-0.610352,2025-05-16 06:10:47
-0.420166,0.88147,0.168457,3.601074,2.075195,2.13623,2025-05-16 06:10:47
-0.421143,0.875122,0.179688,5.065918,0.427246,3.173828,2025-05-16 06:10:47
-0.432251,0.878662,0.175049,5.615234,-1.464844,2.807617,2025-05-16 06:10:47
-0.438843,0.876709,0.179199,6.591797,-3.479004,1.89209,2025-05-16 06:10:47
-0.420288,0.885254,0.181274,7.324219,-5.737305,0.183105,2025-05-16 06:10:48
-0.412598,0.899048,0.172119,7.202148,-4.272461,1.464844,2025-05-16 06:10:48
-0.411255,0.891113,0.175049,5.493164,-1.831055,1.342773,2025-05-16 06:10:48
-0.410156,0.896851,0.170898,5.493164,-0.976563,2.01416,2025-05-16 06:10:48
-0.417236,0.893799,0.16687,4.455566,0.671387,1.159668,2025-05-16 06:10:48
-0.407837,0.897095,0.16333,3.479004,1.708984,0.915527,2025-05-16 06:10:48
-0.404907,0.894165,0.165039,2.746582,3.417969,0.671387,2025-05-16 06:10:48
-0.414917,0.88855,0.169556,2.990723,4.699707,0.793457,2025-05-16 06:10:48
-0.403076,0.888428,0.171387,3.90625,2.807617,-0.427246,2025-05-16 06:10:48
-0.397827,0.895386,0.164917,4.760742,3.112793,3.90625,2025-05-16 06:10:48
-0.389771,0.898682,0.173218,5.432129,2.807617,7.019043,2025-05-16 06:10:48
-0.394531,0.896729,0.167847,6.896973,2.258301,8.239746,2025-05-16 06:10:48
-0.42334,0.890381,0.169678,6.591797,3.723145,9.94873,2025-05-16 06:10:48
-0.412109,0.88501,0.181274,6.652832,2.502441,8.972168,2025-05-16 06:10:48
-0.433716,0.883911,0.183594,6.286621,3.540039,6.713867,2025-05-16 06:10:48
-0.435547,0.881348,0.190674,5.126953,3.90625,6.103516,2025-05-16 06:10:49
-0.425781,0.882446,0.183472,5.432129,2.258301,4.638672,2025-05-16 06:10:49
-0.426392,0.883057,0.185913,4.455566,5.737305,5.065918,2025-05-16 06:10:49
-0.441895,0.87439,0.19751,3.78418,5.310059,4.516602,2025-05-16 06:10:49
-0.445435,0.879639,0.197388,4.150391,3.417969,3.845215,2025-05-16 06:10:49
-0.447998,0.874146,0.189575,4.02832,1.89209,3.479004,2025-05-16 06:10:49
-0.435059,0.876465,0.189941,3.173828,1.464844,2.868652,2025-05-16 06:10:49
-0.441895,0.864502,0.19104,3.356934,1.525879,3.173828,2025-05-16 06:10:49
-0.438843,0.877441,0.196411,3.601074,0.732422,2.685547,2025-05-16 06:10:49
-0.449341,0.868774,0.189941,3.662109,0.854492,2.624512,2025-05-16 06:10:49
-0.441772,0.866577,0.189819,3.90625,-0.061035,2.685547,2025-05-16 06:10:49
-0.437012,0.868042,0.193604,4.638672,0.488281,2.563477,2025-05-16 06:10:49
-0.447021,0.873413,0.18811,5.126953,0.671387,2.197266,2025-05-16 06:10:49
-0.449341,0.865356,0.192749,4.882813,0.427246,2.746582,2025-05-16 06:10:49
-0.43811,0.873901,0.189331,5.126953,0.488281,2.319336,2025-05-16 06:10:50
-0.441772,0.870728,0.193115,5.371094,0.427246,2.624512,2025-05-16 06:10:50
-0.402832,0.911011,0.185303,5.67627,-0.549316,6.164551,2025-05-16 06:10:50
-0.391602,0.898682,0.172974,6.225586,2.258301,11.77979,2025-05-16 06:10:50
-0.421387,0.937256,0.108521,0.061035,10.49805,14.89258,2025-05-16 06:10:50
-0.422363,1.009644,0.134155,-29.11377,6.164551,-1.831055,2025-05-16 06:10:50
-0.367676,1.129028,0.021118,-75.31738,-14.34326,-52.79541,2025-05-16 06:10:50
-0.31897,1.231201,-0.040527,-116.0889,-23.4375,-95.52002,2025-05-16 06:10:50
-0.136353,1.200684,-0.186401,-137.3291,-17.27295,-109.2529,2025-05-16 06:10:50
-0.073364,1.0448,-0.30542,-141.6626,-27.89307,-102.7222,2025-05-16 06:10:50
0.072021,0.868652,-0.432373,-133.1787,-53.28369,-83.98438,2025-05-16 06:10:50
0.120239,0.611206,-0.590698,-115.4785,-41.50391,-56.70166,2025-05-16 06:10:50
0.18042,0.41748,-0.679077,-98.87695,-18.73779,-36.92627,2025-05-16 06:10:50
0.120728,0.245728,-0.601685,-98.20557,-6.408691,-21.42334,2025-05-16 06:10:50
0.108276,0.106445,-0.600098,-97.229,-34.36279,-27.52686,2025-05-16 06:10:50
0.306641,0.164551,-0.788574,-90.63721,-68.96973,-47.97363,2025-05-16 06:10:51
1.009521,-0.164063,-1.423096,-101.0132,-73.73047,-67.44385,2025-05-16 06:10:51
1.582642,-1.074219,-1.967529,-69.58008,-71.16699,-77.51465,2025-05-16 06:10:51
0.997437,-0.906982,-1.014648,-29.29688,-55.84717,-71.83838,2025-05-16 06:10:51
0.420044,0.296143,0.121338,-27.58789,33.26416,-31.79932,2025-05-16 06:10:51
-1.007446,-0.182739,0.274414,-0.061035,89.72168,67.81006,2025-05-16 06:10:51
-0.015137,0.509277,-1.68396,14.70947,-47.72949,6.958008,2025-05-16 06:10:52
-1.146606,-1.27771,-0.270752,0.671387,19.53125,-19.83643,2025-05-16 06:10:52
1.042358,-0.288696,-0.638672,2.929688,-36.43799,-25.14648,2025-05-16 06:10:52
0.523193,-0.397217,-0.595459,-10.25391,-12.20703,-4.760742,2025-05-16 06:10:52
0.564453,-0.435547,-0.467529,-6.347656,-14.28223,-13.73291,2025-05-16 06:10:52
0.712524,-0.49231,-0.522949,-9.643555,-8.605957,-9.58252,2025-05-16 06:10:52
0.703979,-0.543091,-0.515015,-11.59668,1.342773,-4.333496,2025-05-16 06:10:52
0.676758,-0.533691,-0.63269,-7.263184,-1.708984,-7.69043,2025-05-16 06:10:52
0.433716,-0.665771,-0.482666,-9.155273,4.760742,-3.967285,2025-05-16 06:10:52
0.616455,-0.528442,-0.710693,-3.845215,-1.708984,-2.990723,2025-05-16 06:10:52
0.504028,-0.692749,-0.578613,-3.845215,4.699707,4.089355,2025-05-16 06:10:52
0.576782,-0.645508,-0.553467,-1.098633,7.324219,6.652832,2025-05-16 06:10:52
0.553711,-0.622437,-0.575562,2.197266,9.460449,6.04248,2025-05-16 06:10:52
0.538086,-0.661499,-0.611328,4.882813,11.2915,7.080078,2025-05-16 06:10:52
0.525391,-0.630005,-0.591797,9.155273,8.239746,4.638672,2025-05-16 06:10:52
0.547729,-0.640625,-0.550537,9.58252,12.75635,5.67627,2025-05-16 06:10:52
0.573975,-0.557739,-0.500488,13.24463,10.62012,1.77002,2025-05-16 06:10:52
0.534424,-0.573486,-0.619019,15.80811,9.887695,0.671387,2025-05-16 06:10:52
0.463745,-0.626343,-0.648804,15.99121,14.34326,1.831055,2025-05-16 06:10:52
0.504883,-0.61145,-0.685303,16.78467,15.86914,5.065918,2025-05-16 06:10:52
0.542603,-0.588379,-0.642578,18.18848,18.55469,6.835938,2025-05-16 06:10:52
0.50061,-0.577026,-0.64502,18.55469,21.1792,8.239746,2025-05-16 06:10:52
0.511597,-0.544434,-0.711792,19.16504,19.89746,5.92041,2025-05-16 06:10:53
0.418823,-0.599121,-0.635132,16.8457,19.22607,4.455566,2025-05-16 06:10:53
0.446289,-0.567261,-0.690063,15.80811,9.643555,0.488281,2025-05-16 06:10:53
0.486694,-0.511597,-0.712769,12.69531,7.629395,1.037598,2025-05-16 06:10:53
0.447632,-0.569336,-0.690552,8.544922,7.324219,1.586914,2025-05-16 06:10:53
0.484375,-0.510498,-0.658813,5.187988,4.821777,4.577637,2025-05-16 06:10:53
0.462036,-0.521606,-0.706055,0.854492,2.01416,6.652832,2025-05-16 06:10:53
0.373901,-0.493774,-0.730835,-2.746582,-1.098633,6.835938,2025-05-16 06:10:53
0.528076,-0.630859,-0.624634,-8.544922,-0.366211,8.605957,2025-05-16 06:10:53
0.46228,-0.616577,-0.614014,-15.74707,-4.943848,12.3291,2025-05-16 06:10:53
0.600708,-0.589844,-0.631836,-22.3999,-8.666992,13.79395,2025-05-16 06:10:53
0.441284,-0.614136,-0.628418,-25.57373,-15.56396,12.63428,2025-05-16 06:10:53
0.650146,-0.58728,-0.647095,-23.13232,-28.38135,6.713867,2025-05-16 06:10:53
