ax,ay,az,gx,gy,gz,timestamp
-0.578979,0.810547,0.110596,21.1792,-30.57861,35.5835,2025-05-16 06:07:47
-0.542114,0.736938,0.102051,0.061035,12.08496,24.6582,2025-05-16 06:07:47
-0.675537,0.648071,0.081055,4.943848,17.39502,-0.610352,2025-05-16 06:07:47
-0.676147,0.725464,0.090942,13.24463,13.73291,-22.46094,2025-05-16 06:07:47
-0.631836,0.770996,0.110718,2.990723,24.96338,-25.6958,2025-05-16 06:07:47
-0.642456,0.782715,0.102295,-6.103516,29.41895,-20.81299,2025-05-16 06:07:47
-0.605225,0.791504,0.119507,-11.90186,28.68652,-14.83154,2025-05-16 06:07:47
-0.60022,0.797119,0.163818,-13.97705,28.80859,-7.873535,2025-05-16 06:07:48
-0.585083,0.824829,0.163086,-1.586914,16.60156,-3.540039,2025-05-16 06:07:48
-0.571411,0.790039,0.145752,8.972168,8.789063,5.187988,2025-05-16 06:07:48
-0.556519,0.797852,0.185669,12.87842,2.197266,12.81738,2025-05-16 06:07:48
-0.560547,0.791992,0.200684,12.45117,-2.868652,18.31055,2025-05-16 06:07:48
-0.577637,0.827515,0.227905,15.68604,-10.13184,16.60156,2025-05-16 06:07:48
-0.59436,0.784668,0.202271,19.22607,-18.79883,8.850098,2025-05-16 06:07:48
-0.59082,0.818604,0.188721,21.48438,-23.92578,0.671387,2025-05-16 06:07:48
-0.555786,0.802612,0.156738,16.72363,-15.93018,-3.295898,2025-05-16 06:07:48
-0.55249,0.827393,0.163208,6.958008,-1.037598,-7.751465,2025-05-16 06:07:48
-0.559204,0.769409,0.134644,0.976563,6.896973,-7.8125,2025-05-16 06:07:48
-0.585449,0.800415,0.154541,-0.915527,8.544922,-8.789063,2025-05-16 06:07:48
-0.583496,0.811768,0.136963,1.525879,6.835938,-8.850098,2025-05-16 06:07:48
-0.570435,0.814697,0.121338,3.112793,4.882813,-3.90625,2025-05-16 06:07:48
-0.558838,0.80603,0.126465,3.845215,2.746582,1.708984,2025-05-16 06:07:48
