ax,ay,az,gx,gy,gz,timestamp
-0.689453,0.711182,0.103394,15.99121,10.98633,-2.563477,2025-05-16 06:03:32
-0.762329,0.689087,0.021851,9.887695,18.9209,-0.061035,2025-05-16 06:03:32
-0.730591,0.69104,0.083618,2.502441,7.141113,1.89209,2025-05-16 06:03:32
-0.758911,0.694336,0.08606,3.601074,1.342773,7.873535,2025-05-16 06:03:32
-0.801636,0.623657,0.074463,4.760742,-7.629395,13.67188,2025-05-16 06:03:33
-0.848511,0.569214,0.065674,17.27295,-26.00098,25.87891,2025-05-16 06:03:33
-0.769165,0.611694,0.130981,36.13281,-39.00146,21.24023,2025-05-16 06:03:33
-0.665161,0.64502,0.150635,38.87939,-24.96338,7.995605,2025-05-16 06:03:33
-0.68811,0.679443,0.081543,23.98682,3.417969,-2.624512,2025-05-16 06:03:33
-0.72644,0.67749,0.112061,7.568359,19.28711,-5.371094,2025-05-16 06:03:33
-0.757446,0.672363,0.108398,2.746582,23.62061,-7.019043,2025-05-16 06:03:33
-0.776489,0.645996,0.108765,0.366211,20.62988,-7.751465,2025-05-16 06:03:33
-0.756226,0.639038,0.147461,2.502441,11.41357,-10.43701,2025-05-16 06:03:33
-0.753784,0.673828,0.152954,4.699707,5.67627,-10.74219,2025-05-16 06:03:33
-0.738159,0.67627,0.137817,6.164551,0.976563,-6.408691,2025-05-16 06:03:33
-0.70752,0.678589,0.147095,10.37598,-4.882813,-0.732422,2025-05-16 06:03:33
-0.693726,0.717773,0.156372,11.16943,-4.577637,4.577637,2025-05-16 06:03:33
-0.700684,0.688721,0.146973,9.58252,-1.831055,6.469727,2025-05-16 06:03:33
-0.703125,0.677734,0.148804,11.35254,-2.380371,7.446289,2025-05-16 06:03:34
-0.723389,0.703857,0.157104,12.08496,-2.685547,7.873535,2025-05-16 06:03:34
-0.733276,0.701904,0.161621,9.460449,-1.89209,8.789063,2025-05-16 06:03:34
-0.694824,0.686157,0.173828,3.723145,2.075195,5.493164,2025-05-16 06:03:34
-0.7146,0.6698,0.173218,1.708984,3.78418,-0.732422,2025-05-16 06:03:34
-0.726318,0.683716,0.157349,0.183105,5.615234,-3.112793,2025-05-16 06:03:34
-0.727173,0.691406,0.175537,-0.976563,5.310059,-4.272461,2025-05-16 06:03:34
-0.718262,0.664795,0.155273,0.549316,2.01416,-3.662109,2025-05-16 06:03:34
-0.702759,0.693726,0.166016,3.601074,-0.366211,-2.441406,2025-05-16 06:03:34
-0.704468,0.686279,0.16394,3.540039,0.671387,-1.159668,2025-05-16 06:03:34
-0.715942,0.675293,0.149048,6.286621,-0.793457,1.342773,2025-05-16 06:03:34
-0.701294,0.705078,0.161987,6.530762,-0.732422,4.638672,2025-05-16 06:03:34
-0.705322,0.689331,0.160278,5.67627,-0.366211,6.347656,2025-05-16 06:03:34
-0.701416,0.695313,0.164673,8.300781,-2.13623,5.737305,2025-05-16 06:03:34
-0.705078,0.692139,0.160889,7.629395,-1.281738,5.92041,2025-05-16 06:03:34
-0.706909,0.691406,0.165527,7.080078,-2.258301,4.089355,2025-05-16 06:03:35
-0.700806,0.688843,0.161011,5.79834,-1.525879,2.01416,2025-05-16 06:03:35
-0.702393,0.692383,0.165405,4.02832,0.671387,-0.12207,2025-05-16 06:03:35
-0.709717,0.682861,0.158447,4.333496,1.464844,-1.281738,2025-05-16 06:03:35
-0.698608,0.719971,0.163208,2.624512,3.234863,1.647949,2025-05-16 06:03:35
-0.700684,0.691528,0.155518,1.708984,1.953125,2.929688,2025-05-16 06:03:35
-0.696899,0.703125,0.168823,0.732422,2.746582,3.356934,2025-05-16 06:03:35
-0.709839,0.684204,0.158203,0.305176,2.319336,2.624512,2025-05-16 06:03:35
-0.714355,0.693848,0.165527,0.915527,1.098633,2.868652,2025-05-16 06:03:35
-0.708862,0.686768,0.15979,0.854492,1.037598,2.319336,2025-05-16 06:03:35
-0.707886,0.684204,0.15564,2.807617,-0.12207,0.488281,2025-05-16 06:03:35
-0.702881,0.700806,0.154053,3.479004,0.305176,0.488281,2025-05-16 06:03:35
-0.707886,0.707275,0.147583,3.234863,0.976563,2.075195,2025-05-16 06:03:35
-0.695313,0.67749,0.150269,3.051758,0.732422,3.356934,2025-05-16 06:03:35
-0.70752,0.682251,0.149292,4.882813,-0.305176,1.464844,2025-05-16 06:03:36
-0.69812,0.693481,0.147583,7.019043,-0.915527,0.915527,2025-05-16 06:03:36
-0.685913,0.695313,0.140625,6.652832,-0.183105,2.685547,2025-05-16 06:03:36
-0.713379,0.704468,0.155396,5.554199,1.281738,3.295898,2025-05-16 06:03:36
-0.728882,0.674072,0.122437,10.19287,-1.953125,3.295898,2025-05-16 06:03:36
-0.682129,0.699707,0.123779,12.87842,-3.540039,6.286621,2025-05-16 06:03:36
-0.687378,0.741455,0.096191,14.77051,-1.77002,15.50293,2025-05-16 06:03:36
-0.687012,0.730347,0.135742,11.04736,6.164551,20.93506,2025-05-16 06:03:36
-0.736572,0.646362,0.142334,0.305176,14.16016,12.51221,2025-05-16 06:03:36
-0.805054,0.611816,0.153198,-3.90625,3.173828,2.13623,2025-05-16 06:03:36
-0.789795,0.684326,0.160278,-1.159668,-15.44189,-5.493164,2025-05-16 06:03:36
-0.722046,0.811401,0.207153,-9.460449,-29.96826,-9.521484,2025-05-16 06:03:36
-0.763306,0.722656,0.087158,-17.21191,-41.68701,-15.80811,2025-05-16 06:03:36
-0.694946,0.821655,0.092407,-12.63428,-69.45801,-40.2832,2025-05-16 06:03:36
-0.657715,0.851074,-0.063477,-13.06152,-88.31787,-63.65967,2025-05-16 06:03:37
-0.539551,0.911377,-0.11499,-14.09912,-109.436,-90.08789,2025-05-16 06:03:37
-0.374023,0.943726,-0.136963,-13.18359,-119.3848,-112.4268,2025-05-16 06:03:37
-0.172852,0.834351,-0.273315,-8.666992,-116.1499,-121.2769,2025-05-16 06:03:37
