ax,ay,az,gx,gy,gz,timestamp
-0.747681,0.696777,-0.040771,6.347656,-2.868652,1.831055,2025-05-16 06:30:50
-0.723267,0.689575,-0.086426,6.652832,-5.92041,1.220703,2025-05-16 06:30:50
-0.692383,0.696655,-0.098755,6.652832,0.366211,4.211426,2025-05-16 06:30:50
-0.71875,0.707886,-0.06543,3.78418,1.342773,2.990723,2025-05-16 06:30:50
-0.720459,0.691162,-0.071289,2.01416,0.854492,2.075195,2025-05-16 06:30:50
-0.713745,0.682251,-0.077637,2.746582,1.037598,3.051758,2025-05-16 06:30:50
-0.718872,0.684448,-0.076904,4.699707,2.01416,4.577637,2025-05-16 06:30:50
-0.725464,0.681396,-0.071777,4.272461,1.953125,4.211426,2025-05-16 06:30:50
-0.714844,0.687988,-0.070923,4.089355,2.319336,3.723145,2025-05-16 06:30:50
-0.729614,0.690674,-0.062622,4.211426,1.89209,3.417969,2025-05-16 06:30:50
-0.713867,0.676147,-0.070557,5.065918,1.037598,3.051758,2025-05-16 06:30:50
-0.732788,0.685425,-0.070435,5.615234,1.831055,3.234863,2025-05-16 06:30:51
-0.731689,0.696777,-0.063965,5.67627,1.159668,3.173828,2025-05-16 06:30:51
-0.715698,0.679565,-0.064331,5.065918,0.671387,3.356934,2025-05-16 06:30:51
-0.733154,0.696411,-0.068726,4.394531,2.13623,3.417969,2025-05-16 06:30:51
-0.730469,0.6875,-0.0625,3.479004,1.77002,2.502441,2025-05-16 06:30:51
-0.713013,0.682495,-0.061523,2.868652,1.342773,2.319336,2025-05-16 06:30:51
-0.743896,0.674194,-0.059937,3.295898,1.098633,1.708984,2025-05-16 06:30:51
-0.722168,0.687134,-0.070679,4.02832,0.549316,1.708984,2025-05-16 06:30:51
-0.727661,0.682007,-0.067017,4.272461,1.953125,2.197266,2025-05-16 06:30:51
-0.722656,0.691772,-0.071045,3.479004,2.258301,2.01416,2025-05-16 06:30:51
-0.720703,0.681274,-0.059204,2.990723,3.234863,2.01416,2025-05-16 06:30:51
-0.724487,0.695557,-0.060913,3.295898,2.380371,2.13623,2025-05-16 06:30:51
-0.730591,0.689331,-0.062866,2.807617,1.77002,2.441406,2025-05-16 06:30:51
-0.724609,0.684326,-0.060669,2.746582,1.586914,2.075195,2025-05-16 06:30:51
-0.723145,0.679932,-0.070435,3.051758,1.281738,2.380371,2025-05-16 06:30:51
-0.717773,0.675781,-0.061523,3.479004,2.380371,2.868652,2025-05-16 06:30:52
-0.719116,0.681641,-0.06189,3.662109,1.220703,2.380371,2025-05-16 06:30:52
-0.727783,0.693237,-0.062622,4.211426,1.89209,2.441406,2025-05-16 06:30:52
-0.718262,0.684937,-0.063965,4.211426,1.098633,2.075195,2025-05-16 06:30:52
-0.726807,0.681519,-0.063721,3.845215,2.380371,2.13623,2025-05-16 06:30:52
-0.718018,0.677612,-0.06897,3.845215,2.13623,2.624512,2025-05-16 06:30:52
-0.724731,0.672974,-0.062256,3.601074,3.051758,2.807617,2025-05-16 06:30:52
-0.714233,0.683472,-0.052979,3.845215,2.075195,3.295898,2025-05-16 06:30:52
-0.737549,0.690186,-0.05603,4.699707,2.258301,3.479004,2025-05-16 06:30:52
-0.720093,0.680054,-0.036255,3.295898,1.89209,3.90625,2025-05-16 06:30:52
-0.747925,0.692017,-0.019409,2.502441,0.061035,4.02832,2025-05-16 06:30:52
-0.705322,0.611816,-0.091797,6.835938,-2.929688,7.873535,2025-05-16 06:30:52
-0.760742,0.698853,-0.053955,9.033203,5.615234,9.765625,2025-05-16 06:30:52
-0.759033,0.686157,-0.041626,7.080078,-1.89209,3.356934,2025-05-16 06:30:53
-0.707886,0.661987,-0.074341,5.615234,2.197266,4.333496,2025-05-16 06:30:53
-0.766357,0.652954,-0.052002,3.479004,3.967285,4.333496,2025-05-16 06:30:53
-0.761719,0.677612,-0.055908,3.90625,1.586914,3.356934,2025-05-16 06:30:53
-0.73645,0.662964,-0.030396,4.272461,1.037598,2.868652,2025-05-16 06:30:53
-0.741943,0.672363,-0.060059,3.601074,0.305176,2.197266,2025-05-16 06:30:53
-0.739868,0.670166,-0.04834,2.746582,2.563477,2.563477,2025-05-16 06:30:53
-0.744507,0.661743,-0.052124,2.929688,1.525879,2.563477,2025-05-16 06:30:53
-0.748901,0.660645,-0.042847,3.967285,2.441406,3.356934,2025-05-16 06:30:53
-0.752075,0.6698,-0.058716,5.737305,-0.061035,3.295898,2025-05-16 06:30:53
-0.709717,0.665161,-0.05896,7.8125,5.126953,5.187988,2025-05-16 06:30:53
