ax,ay,az,gx,gy,gz,timestamp
0.19165,0.817505,0.572876,-7.324219,-28.74756,-20.87402,2025-05-16 06:55:07
0.281494,0.902954,0.673462,-0.183105,-19.28711,-14.16016,2025-05-16 06:55:07
0.289551,0.838501,0.501709,-2.624512,-1.464844,4.333496,2025-05-16 06:55:07
0.107056,0.749268,0.454468,-8.178711,10.43701,10.55908,2025-05-16 06:55:07
0.135376,0.843506,0.531738,-1.159668,-0.854492,0.610352,2025-05-16 06:55:07
0.189331,0.861938,0.495972,1.220703,-1.342773,0.244141,2025-05-16 06:55:07
0.156494,0.865234,0.477173,-5.310059,0.305176,2.685547,2025-05-16 06:55:07
0.143311,0.827393,0.496582,-8.483887,-1.89209,0.732422,2025-05-16 06:55:07
0.186401,0.81543,0.501831,-5.432129,1.037598,-3.234863,2025-05-16 06:55:07
0.163452,0.817749,0.498047,-2.075195,12.63428,-5.249023,2025-05-16 06:55:07
0.158325,0.845093,0.455322,-3.90625,22.2168,-5.126953,2025-05-16 06:55:07
0.135254,0.860718,0.453613,-2.990723,16.05225,-5.554199,2025-05-16 06:55:07
0.17688,0.854248,0.428223,-1.159668,5.310059,-6.286621,2025-05-16 06:55:07
0.294067,0.863647,0.360718,0.976563,3.90625,-5.004883,2025-05-16 06:55:07
0.360474,0.863281,0.35083,7.446289,5.371094,-2.197266,2025-05-16 06:55:08
0.43396,0.898438,0.360352,9.94873,-2.319336,5.371094,2025-05-16 06:55:08
0.407349,0.854736,0.38208,2.685547,1.831055,23.01025,2025-05-16 06:55:08
0.285278,0.860718,0.302368,-10.00977,-12.3291,31.92139,2025-05-16 06:55:08
0.177124,1.035522,0.431396,-36.13281,-42.66357,42.11426,2025-05-16 06:55:08
0.086426,0.767822,0.397583,-56.70166,-42.41943,52.18506,2025-05-16 06:55:08
-0.02832,0.314209,0.259644,-48.82813,3.601074,75.01221,2025-05-16 06:55:08
-0.228882,-0.033691,0.042114,1.464844,11.84082,55.66406,2025-05-16 06:55:08
0.054321,0.335938,0.19104,41.74805,28.01514,-7.93457,2025-05-16 06:55:08
0.325439,1.626465,0.751831,54.26025,103.5156,-66.65039,2025-05-16 06:55:08
0.117554,2.390381,0.816772,49.62158,70.67871,-210.144,2025-05-16 06:55:08
3.203735,2.394653,1.613403,123.23,126.2207,-376.9531,2025-05-16 06:55:08
1.385864,0.437988,0.470947,130.5542,177.2461,-191.8945,2025-05-16 06:55:09
-0.927979,0.41333,0.722046,78.49121,166.9312,-132.4463,2025-05-16 06:55:09
-0.393433,-0.382568,-0.514893,39.42871,102.356,-67.74902,2025-05-16 06:55:09
-0.886353,-0.243774,-0.304932,37.41455,26.67236,26.97754,2025-05-16 06:55:09
-1.467285,3.532593,-1.703247,-42.05322,-96.25244,35.52246,2025-05-16 06:55:09
0.885864,-2.005127,0.761719,-5.554199,62.5,15.99121,2025-05-16 06:55:09
0.977661,-0.620117,-0.598511,21.78955,37.59766,4.150391,2025-05-16 06:55:09
0.146606,-0.751465,-0.243042,-0.305176,58.22754,-5.004883,2025-05-16 06:55:09
0.495972,-0.721313,-0.552368,-26.18408,33.63037,-25.75684,2025-05-16 06:55:09
0.591187,-0.716309,-0.520996,-38.69629,22.70508,-49.86572,2025-05-16 06:55:09
0.37854,-0.794678,-0.335327,-53.89404,30.82275,-62.98828,2025-05-16 06:55:09
0.386597,-1.185547,-0.505371,-64.33105,27.03857,-75.13428,2025-05-16 06:55:09
0.474854,-1.241333,-0.605957,-87.76855,17.51709,-77.39258,2025-05-16 06:55:09
0.411743,-1.182373,-0.489746,-88.0127,-7.751465,-82.09229,2025-05-16 06:55:09
0.700073,-0.945435,-0.564697,-85.63232,12.63428,-56.57959,2025-05-16 06:55:09
0.174438,-0.944458,0.000122,-64.5752,11.2915,-25.45166,2025-05-16 06:55:09
0.5625,-0.765625,-0.077026,-10.43701,-16.11328,-46.81396,2025-05-16 06:55:10
0.355957,-0.712891,-0.070068,25.20752,0,-46.93604,2025-05-16 06:55:10
0.447998,-0.811401,-0.200562,48.15674,-6.958008,-25.93994,2025-05-16 06:55:10
0.331909,-0.665527,-0.781372,62.92725,-2.319336,43.70117,2025-05-16 06:55:10
0.933594,-0.789917,-0.459473,73.91357,-39.73389,101.1963,2025-05-16 06:55:10
1.410278,-1.355591,-0.908691,105.4077,-27.22168,101.2573,2025-05-16 06:55:10
-0.521729,-1.716919,-0.507446,87.46338,-138.2446,53.40576,2025-05-16 06:55:10
0.145508,-0.875122,-0.212891,61.4624,-157.7759,79.3457,2025-05-16 06:55:10
1.519165,-0.879883,-0.149414,65.67383,-117.981,80.13916,2025-05-16 06:55:10
0.987793,-1.915527,-0.588013,-24.78027,-108.6426,147.3389,2025-05-16 06:55:10
0.73291,-1.654175,-0.114258,-150.8179,-117.3706,205.4443,2025-05-16 06:55:10
2.391846,-1.464844,0.742676,-229.7974,-21.78955,208.8013,2025-05-16 06:55:10
0.570068,-1.830444,2.03418,-185.6689,147.9492,299.2554,2025-05-16 06:55:10
-0.539551,0.719604,0.926147,-81.48193,116.394,353.8818,2025-05-16 06:55:10
0.282593,-0.329956,-0.182495,-51.26953,42.96875,233.3984,2025-05-16 06:55:11
-0.228882,0.30896,-0.464478,-29.72412,22.82715,165.2832,2025-05-16 06:55:11
-0.647339,0.414185,-0.358398,-39.55078,70.12939,115.2344,2025-05-16 06:55:11
-0.834961,0.670288,-0.642456,-7.69043,53.34473,76.23291,2025-05-16 06:55:11
-0.361206,0.723999,-0.742676,31.12793,5.310059,46.99707,2025-05-16 06:55:11
-0.515137,0.53125,-0.706421,56.51855,2.075195,16.8457,2025-05-16 06:55:11
-0.376953,0.833008,-0.349365,72.87598,5.79834,-3.051758,2025-05-16 06:55:11
-0.344238,0.902344,-0.211792,95.58105,2.563477,-23.55957,2025-05-16 06:55:11
-0.785889,0.820557,0.026733,84.83887,10.86426,-31.00586,2025-05-16 06:55:11
-0.625488,0.761719,-0.154053,71.47217,2.13623,-59.81445,2025-05-16 06:55:11
-0.24292,0.507446,-0.311279,42.5415,-13.91602,-88.80615,2025-05-16 06:55:11
-0.459717,0.482178,-0.314941,27.70996,-4.638672,-73.42529,2025-05-16 06:55:11
0.309448,0.572998,-0.090454,19.104,-33.75244,-75.68359,2025-05-16 06:55:11
-0.020142,0.357178,-0.072388,-14.16016,-40.1001,-49.01123,2025-05-16 06:55:11
