ax,ay,az,gx,gy,gz,timestamp
0.5802,-1.067261,-0.464844,30.94482,-115.4785,102.0508,2025-05-16 06:53:11
0.844849,-1.080811,-0.258911,-27.64893,-129.5166,120.5444,2025-05-16 06:53:11
0.663208,-1.139404,0.292969,-95.15381,-61.21826,158.5693,2025-05-16 06:53:11
0.850586,-0.595215,0.194336,-125.7935,-78.73535,128.8452,2025-05-16 06:53:11
0.257813,-0.511353,0.410156,-147.4609,-34.30176,86.9751,2025-05-16 06:53:11
-0.309082,-0.35376,0.091309,-124.5728,-76.59912,26.12305,2025-05-16 06:53:11
-0.579468,-0.502319,0.688354,-64.45313,-168.8843,-48.58398,2025-05-16 06:53:12
1.110229,-1.011597,0.760376,73.85254,-155.7007,-134.6436,2025-05-16 06:53:12
1.492554,0.086182,0.252075,202.1484,-33.87451,-179.9316,2025-05-16 06:53:12
1.063477,0.158325,0.32019,200.3174,109.1309,-151.1841,2025-05-16 06:53:12
1.064331,-0.858887,-0.475586,163.6353,101.1963,-158.9966,2025-05-16 06:53:12
1.581055,-1.273926,0.084595,110.4126,152.0386,-65.06348,2025-05-16 06:53:12
-0.290771,-1.2323,-0.595093,81.90918,66.28418,28.93066,2025-05-16 06:53:12
1.580322,-0.601196,-0.587036,75.68359,-41.50391,83.06885,2025-05-16 06:53:12
1.353516,-0.888062,-0.800171,73.7915,-18.43262,108.3374,2025-05-16 06:53:12
0.133911,-1.541626,-0.645264,41.99219,-46.02051,115.5396,2025-05-16 06:53:12
0.609619,-1.118774,-0.249756,-1.159668,-132.2632,113.5254,2025-05-16 06:53:12
0.676025,-0.96582,0.231445,-57.55615,-106.6284,148.9868,2025-05-16 06:53:12
0.799561,-0.663208,0.4823,-91.00342,-119.6899,160.0342,2025-05-16 06:53:12
0.746338,-0.422119,0.293945,-150.9399,-88.07373,147.644,2025-05-16 06:53:12
-0.052002,-0.245117,0.373047,-165.7715,-104.5532,83.25195,2025-05-16 06:53:12
-0.202271,-0.633911,0.536377,-76.29395,-163.269,-43.02979,2025-05-16 06:53:13
0.654541,-0.720825,0.587769,93.93311,-204.5288,-178.9551,2025-05-16 06:53:13
1.657959,-0.039673,0.908691,248.3521,-68.78662,-186.8896,2025-05-16 06:53:13
1.413208,0.493042,0.876343,227.2949,108.0933,-156.8604,2025-05-16 06:53:13
1.117188,-0.292358,0.314209,162.7197,145.752,-160.6445,2025-05-16 06:53:13
1.799316,-0.963623,-0.350342,115.2344,196.2891,-101.5625,2025-05-16 06:53:13
-0.942139,-1.949219,-0.075806,105.2856,95.33691,1.647949,2025-05-16 06:53:13
1.822388,-0.445313,-0.489624,91.79688,-75.43945,69.94629,2025-05-16 06:53:13
1.569824,-0.742798,-0.699585,82.39746,-1.77002,118.103,2025-05-16 06:53:13
0.067627,-1.82666,-1.022827,59.38721,-22.46094,113.4644,2025-05-16 06:53:13
0.484009,-1.009521,-0.36731,23.68164,-145.0806,104.4312,2025-05-16 06:53:13
0.788086,-1.200806,0.091919,-35.82764,-100.9521,145.6299,2025-05-16 06:53:13
0.807007,-0.741455,0.283569,-66.04004,-126.5869,158.02,2025-05-16 06:53:13
1.049072,-0.485718,0.2229,-112.0605,-88.13477,157.4707,2025-05-16 06:53:13
0.219116,-0.328979,0.265991,-136.7188,-49.56055,105.4688,2025-05-16 06:53:13
-0.35144,-0.567261,0.237915,-89.72168,-122.1313,1.77002,2025-05-16 06:53:14
-0.183105,-0.466187,0.671387,-29.72412,-166.2598,-93.75,2025-05-16 06:53:14
0.628418,-0.453369,0.752686,89.78271,-145.9961,-170.5933,2025-05-16 06:53:14
1.439697,0.038696,0.930908,245.1782,-29.60205,-187.0117,2025-05-16 06:53:14
1.682251,0.665527,0.696655,220.1538,112.7319,-162.2314,2025-05-16 06:53:14
1.092651,-0.025269,-0.157349,147.7661,152.771,-174.4385,2025-05-16 06:53:14
2.094727,-1.634399,0.16626,106.9336,209.7778,-64.51416,2025-05-16 06:53:14
-0.613037,-1.09314,-1.457886,93.20068,18.67676,33.5083,2025-05-16 06:53:14
2.26709,-0.148193,-0.731934,79.77295,-38.51318,95.33691,2025-05-16 06:53:14
0.994751,-1.192139,-0.768799,68.78662,-4.638672,118.8354,2025-05-16 06:53:14
0.049805,-1.618408,-0.554321,38.26904,-58.83789,116.9434,2025-05-16 06:53:14
0.900513,-1.375366,-0.293091,-13.61084,-128.479,123.1079,2025-05-16 06:53:14
0.652344,-1.152954,0.320435,-63.23242,-122.6196,158.5083,2025-05-16 06:53:14
0.970947,-0.547974,0.375,-113.0981,-130.188,170.8984,2025-05-16 06:53:14
0.62207,-0.412598,0.501709,-189.4531,-72.44873,148.4375,2025-05-16 06:53:15
0.007568,-0.446899,-0.078735,-172.7905,-119.3237,39.73389,2025-05-16 06:53:15
-0.634277,-0.124878,0.593628,-46.50879,-168.1519,-75.01221,2025-05-16 06:53:15
0.541138,-1.087402,0.476318,125.061,-176.9409,-159.3628,2025-05-16 06:53:15
1.740112,0.185669,1.876709,313.8428,-74.89014,-150.8179,2025-05-16 06:53:15
2.212524,1.110229,1.203613,267.9443,105.4688,-137.3901,2025-05-16 06:53:15
1.455078,-0.585938,-0.715088,141.9678,167.4194,-146.2402,2025-05-16 06:53:15
2.065796,-1.499268,-0.080688,93.75,263.4888,-57.55615,2025-05-16 06:53:15
-2.707397,-1.363403,-1.372803,91.43066,46.02051,28.32031,2025-05-16 06:53:15
2.63208,0.210815,-0.66687,93.99414,-103.6987,52.24609,2025-05-16 06:53:15
