ax,ay,az,gx,gy,gz,timestamp
0.003174,0.796265,-0.526001,6.530762,30.39551,16.90674,2025-05-16 06:17:44
0.021729,0.8396,-0.495972,1.403809,5.859375,10.55908,2025-05-16 06:17:44
0.069092,0.879272,-0.532227,3.051758,-3.234863,8.605957,2025-05-16 06:17:44
0.059692,0.848145,-0.518311,6.469727,-3.78418,6.103516,2025-05-16 06:17:44
0.099609,0.872925,-0.46875,6.652832,-7.141113,3.662109,2025-05-16 06:17:44
0.143311,0.858032,-0.488281,5.187988,-7.69043,0.183105,2025-05-16 06:17:44
0.183594,0.872803,-0.483398,4.272461,-6.530762,-1.037598,2025-05-16 06:17:44
0.171631,0.856689,-0.480591,4.516602,-2.075195,0.427246,2025-05-16 06:17:45
0.176392,0.842651,-0.479736,2.746582,-5.493164,-1.220703,2025-05-16 06:17:45
0.207764,0.878052,-0.481201,3.90625,-2.01416,1.098633,2025-05-16 06:17:45
0.188232,0.857178,-0.47522,4.394531,0.915527,1.89209,2025-05-16 06:17:45
0.178711,0.862915,-0.476318,3.723145,2.258301,2.868652,2025-05-16 06:17:45
0.171631,0.861816,-0.480469,3.356934,0.793457,3.540039,2025-05-16 06:17:45
0.187988,0.860352,-0.474243,3.417969,1.403809,3.845215,2025-05-16 06:17:45
0.180176,0.861084,-0.483643,3.112793,1.586914,3.417969,2025-05-16 06:17:45
0.164795,0.863159,-0.48645,3.173828,2.319336,3.417969,2025-05-16 06:17:45
0.158813,0.867798,-0.481079,3.845215,1.953125,3.845215,2025-05-16 06:17:45
0.152954,0.852173,-0.489258,3.479004,0.793457,2.624512,2025-05-16 06:17:45
0.160645,0.862915,-0.487061,3.845215,0.854492,2.624512,2025-05-16 06:17:45
0.168945,0.85144,-0.481812,3.479004,0.12207,2.502441,2025-05-16 06:17:45
0.169922,0.862427,-0.489014,3.723145,0,2.441406,2025-05-16 06:17:45
0.15918,0.862305,-0.487793,4.089355,-0.305176,1.831055,2025-05-16 06:17:46
0.175049,0.853394,-0.474365,2.624512,-2.563477,0.854492,2025-05-16 06:17:46
0.192627,0.853149,-0.484375,1.525879,-3.295898,1.403809,2025-05-16 06:17:46
0.230591,0.860962,-0.476685,2.563477,0.366211,3.967285,2025-05-16 06:17:46
0.219116,0.847412,-0.483032,3.601074,4.882813,6.347656,2025-05-16 06:17:46
0.178467,0.850952,-0.494019,3.845215,5.126953,5.249023,2025-05-16 06:17:46
0.134644,0.847168,-0.500732,3.173828,1.831055,3.78418,2025-05-16 06:17:46
0.155762,0.856567,-0.493408,3.112793,1.525879,4.150391,2025-05-16 06:17:46
0.156372,0.853027,-0.488525,2.990723,1.403809,4.211426,2025-05-16 06:17:46
0.155518,0.856934,-0.489258,2.929688,0.976563,3.051758,2025-05-16 06:17:46
0.161499,0.8479,-0.498657,3.173828,-0.610352,1.586914,2025-05-16 06:17:46
0.1604,0.864258,-0.491211,5.004883,3.173828,3.601074,2025-05-16 06:17:46
0.159546,0.85144,-0.493408,4.577637,1.098633,2.13623,2025-05-16 06:17:46
0.142334,0.854858,-0.488281,4.211426,0.12207,1.586914,2025-05-16 06:17:47
