ax,ay,az,gx,gy,gz,timestamp
0.019287,0.895996,0.448486,-93.32275,-61.52344,-12.08496,2025-05-16 06:42:03
-0.024658,1.190308,0.278076,34.11865,-47.54639,82.27539,2025-05-16 06:42:03
-0.077881,0.77832,0.558228,47.24121,21.3623,30.94482,2025-05-16 06:42:03
-0.095215,0.750854,0.653931,-1.525879,9.94873,-53.71094,2025-05-16 06:42:03
0.13147,0.638428,0.44104,-51.69678,23.37646,-129.4556,2025-05-16 06:42:03
0.264771,0.984619,-0.197998,-223.938,-60.79102,-188.5986,2025-05-16 06:42:03
0.338745,1.008667,0.008911,12.20703,25.75684,-69.15283,2025-05-16 06:42:03
0.534424,0.884033,0.033691,6.347656,-10.62012,-23.62061,2025-05-16 06:42:03
0.121948,0.417969,-0.19165,58.41064,-60.2417,23.01025,2025-05-16 06:42:03
0.286743,0.770508,0.194458,39.18457,-32.95898,9.094238,2025-05-16 06:42:03
0.401245,0.866943,0.412598,-6.958008,-22.76611,0.732422,2025-05-16 06:42:03
0.407349,1.018188,0.318604,-27.70996,-25.32959,11.65771,2025-05-16 06:42:03
0.332031,0.944092,0.270264,-44.6167,-17.94434,21.30127,2025-05-16 06:42:03
0.299927,0.863892,0.023804,-38.51318,-14.70947,19.89746,2025-05-16 06:42:03
0.240967,0.636841,0.147827,-14.03809,-16.96777,2.685547,2025-05-16 06:42:04
0.423462,0.637573,0.172607,23.80371,-18.79883,-7.507324,2025-05-16 06:42:04
0.771729,0.727783,0.385498,59.38721,-38.39111,6.103516,2025-05-16 06:42:04
0.193359,0.706055,0.70752,71.89941,-76.66016,-22.2168,2025-05-16 06:42:04
0.290527,1.217896,0.536987,-3.417969,-32.22656,-29.54102,2025-05-16 06:42:04
0.340332,0.923462,0.387573,-19.34814,-8.605957,-6.04248,2025-05-16 06:42:04
0.158813,0.717773,0.176636,-1.037598,-6.591797,-5.493164,2025-05-16 06:42:04
0.326904,0.880493,0.403198,16.05225,11.35254,-14.77051,2025-05-16 06:42:04
0.460938,0.916382,0.530029,11.96289,3.417969,-3.90625,2025-05-16 06:42:04
0.307007,0.850464,0.430786,24.4751,-5.310059,9.643555,2025-05-16 06:42:04
0.292236,0.697021,0.516724,18.79883,-3.295898,6.103516,2025-05-16 06:42:04
0.303711,0.765991,0.462524,0.610352,2.075195,-6.713867,2025-05-16 06:42:04
0.433838,0.902832,0.482178,-5.554199,8.239746,-1.220703,2025-05-16 06:42:04
0.390015,0.837158,0.424072,7.446289,-0.915527,11.04736,2025-05-16 06:42:05
0.391479,0.776489,0.459839,15.13672,0.549316,13.79395,2025-05-16 06:42:05
0.308472,0.760986,0.483643,13.79395,0.671387,12.45117,2025-05-16 06:42:05
0.249756,0.76123,0.500122,10.25391,6.469727,9.094238,2025-05-16 06:42:05
0.301636,0.784302,0.512207,4.638672,7.385254,5.615234,2025-05-16 06:42:05
0.324951,0.781372,0.549316,1.77002,2.746582,0.793457,2025-05-16 06:42:05
0.351929,0.837158,0.484985,-1.831055,1.525879,2.563477,2025-05-16 06:42:05
0.337646,0.792236,0.496094,-0.915527,1.708984,5.310059,2025-05-16 06:42:05
0.310791,0.80481,0.46228,1.464844,1.647949,5.981445,2025-05-16 06:42:05
0.302124,0.790039,0.5,3.051758,1.647949,4.455566,2025-05-16 06:42:05
0.295532,0.802612,0.484863,0.976563,3.295898,3.90625,2025-05-16 06:42:05
